"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","success","stimulus","button_pressed","adj_rew","choice","del_rew","del_m","last_ask"
"27714","{""Nome"":""CONTROL_TS"",""Cognome"":""4B_POST""}","survey-text","0","27718","0.0-0.0","","","","","","","",""
"","","fullscreen","1","34170","0.0-1.0","true","","","","","","",""
"3393","","html-button-response","2","37566","0.0-2.0-0.0","","<p>Scegli il premio:</p>","0","5000","0","10000","6","false"
"1758","","html-button-response","3","39326","0.0-2.0-1.0","","<p>Scegli il premio:</p>","1","7500","0","10000","6","false"
"1680","","html-button-response","4","41007","0.0-2.0-2.0","","<p>Scegli il premio:</p>","1","8750","0","10000","6","false"
"1672.0000000000073","","html-button-response","5","42681","0.0-2.0-3.0","","<p>Scegli il premio:</p>","1","9375","0","10000","6","false"
"1915","","html-button-response","6","44597","0.0-2.0-4.0","","<p>Scegli il premio:</p>","1","9688","0","10000","6","false"
"1200","","html-button-response","7","45798","0.0-2.0-5.0","","<p>Scegli il premio:</p>","1","9922","0","10000","6","true"
"2224","","html-button-response","8","48024","0.0-2.0-0.1","","<p>Scegli il premio:</p>","0","250","0","500","1","false"
"1616","","html-button-response","9","49642","0.0-2.0-1.1","","<p>Scegli il premio:</p>","1","375","0","500","1","false"
"1931","","html-button-response","10","51573","0.0-2.0-2.1","","<p>Scegli il premio:</p>","0","438","0","500","1","false"
"946","","html-button-response","11","52522","0.0-2.0-3.1","","<p>Scegli il premio:</p>","1","469","1","500","1","false"
"853","","html-button-response","12","53377","0.0-2.0-4.1","","<p>Scegli il premio:</p>","1","454","1","500","1","false"
"768.9999999999927","","html-button-response","13","54147","0.0-2.0-5.1","","<p>Scegli il premio:</p>","1","446","1","500","1","true"
"3389","","html-button-response","14","57539","0.0-2.0-0.2","","<p>Scegli il premio:</p>","1","5000","0","10000","12","false"
"940","","html-button-response","15","58481","0.0-2.0-1.2","","<p>Scegli il premio:</p>","0","7500","0","10000","12","false"
"1682","","html-button-response","16","60164","0.0-2.0-2.2","","<p>Scegli il premio:</p>","0","8750","0","10000","12","false"
"1414","","html-button-response","17","61581","0.0-2.0-3.2","","<p>Scegli il premio:</p>","0","9375","0","10000","12","false"
"1069","","html-button-response","18","62653","0.0-2.0-4.2","","<p>Scegli il premio:</p>","1","9688","0","10000","12","false"
"1760.0000000000073","","html-button-response","19","64414","0.0-2.0-5.2","","<p>Scegli il premio:</p>","1","9922","0","10000","12","true"
"1878","","html-button-response","20","66294","0.0-2.0-0.3","","<p>Scegli il premio:</p>","1","5000","0","10000","24","false"
"5540","","html-button-response","21","71835","0.0-2.0-1.3","","<p>Scegli il premio:</p>","0","7500","0","10000","24","false"
"1578","","html-button-response","22","73414","0.0-2.0-2.3","","<p>Scegli il premio:</p>","1","8750","0","10000","24","false"
"1196","","html-button-response","23","74613","0.0-2.0-3.3","","<p>Scegli il premio:</p>","0","9375","0","10000","24","false"
"1502.9999999999854","","html-button-response","24","76118","0.0-2.0-4.3","","<p>Scegli il premio:</p>","1","9688","0","10000","24","false"
"2344","","html-button-response","25","78465","0.0-2.0-5.3","","<p>Scegli il premio:</p>","0","9922","0","10000","24","true"
"2229","","html-button-response","26","80696","0.0-2.0-0.4","","<p>Scegli il premio:</p>","1","250","0","500","6","false"
"1753","","html-button-response","27","82451","0.0-2.0-1.4","","<p>Scegli il premio:</p>","1","375","0","500","6","false"
"1302","","html-button-response","28","83755","0.0-2.0-2.4","","<p>Scegli il premio:</p>","0","438","1","500","6","false"
"769","","html-button-response","29","84526","0.0-2.0-3.4","","<p>Scegli il premio:</p>","0","407","1","500","6","false"
"960","","html-button-response","30","85489","0.0-2.0-4.4","","<p>Scegli il premio:</p>","1","391","0","500","6","false"
"2097.0000000000146","","html-button-response","31","87588","0.0-2.0-5.4","","<p>Scegli il premio:</p>","1","403","0","500","6","true"
"1984","","html-button-response","32","89574","0.0-2.0-0.5","","<p>Scegli il premio:</p>","0","5000","0","10000","1","false"
"1096","","html-button-response","33","90672","0.0-2.0-1.5","","<p>Scegli il premio:</p>","1","7500","0","10000","1","false"
"1533.0000000000146","","html-button-response","34","92208","0.0-2.0-2.5","","<p>Scegli il premio:</p>","0","8750","0","10000","1","false"
"771","","html-button-response","35","92981","0.0-2.0-3.5","","<p>Scegli il premio:</p>","0","9375","0","10000","1","false"
"986.0000000000146","","html-button-response","36","93969","0.0-2.0-4.5","","<p>Scegli il premio:</p>","0","9688","0","10000","1","false"
"897","","html-button-response","37","94867","0.0-2.0-5.5","","<p>Scegli il premio:</p>","0","9922","0","10000","1","true"
"2511","","html-button-response","38","97381","0.0-2.0-0.6","","<p>Scegli il premio:</p>","1","250","0","500","120","false"
"1731","","html-button-response","39","99114","0.0-2.0-1.6","","<p>Scegli il premio:</p>","0","375","0","500","120","false"
"1008.0000000000146","","html-button-response","40","100124","0.0-2.0-2.6","","<p>Scegli il premio:</p>","0","438","0","500","120","false"
"1314","","html-button-response","41","101439","0.0-2.0-3.6","","<p>Scegli il premio:</p>","1","469","1","500","120","false"
