"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","success","stimulus","button_pressed","adj_rew","choice","del_rew","del_m","last_ask"
"41618.00000000001","{""Nome"":""CONTROL_TS"",""Cognome"":""23_B_PRE""}","survey-text","0","41627","0.0-0.0","","","","","","","",""
"","","fullscreen","1","44728","0.0-1.0","true","","","","","","",""
"3530","","html-button-response","2","48260","0.0-2.0-0.0","","<p>Scegli il premio:</p>","1","250","1","500","120","false"
"2202.9999999999927","","html-button-response","3","50463","0.0-2.0-1.0","","<p>Scegli il premio:</p>","0","125","1","500","120","false"
"1475","","html-button-response","4","51939","0.0-2.0-2.0","","<p>Scegli il premio:</p>","0","63","1","500","120","false"
"2686","","html-button-response","5","54625","0.0-2.0-3.0","","<p>Scegli il premio:</p>","0","32","1","500","120","false"
"2884","","html-button-response","6","57511","0.0-2.0-4.0","","<p>Scegli il premio:</p>","0","16","0","500","120","false"
"1756","","html-button-response","7","59267","0.0-2.0-5.0","","<p>Scegli il premio:</p>","0","24","1","500","120","true"
"2852.0000000000073","","html-button-response","8","62121","0.0-2.0-0.1","","<p>Scegli il premio:</p>","0","250","0","500","60","false"
"2568","","html-button-response","9","64690","0.0-2.0-1.1","","<p>Scegli il premio:</p>","0","375","0","500","60","false"
"2039","","html-button-response","10","66731","0.0-2.0-2.1","","<p>Scegli il premio:</p>","1","438","1","500","60","false"
"1235","","html-button-response","11","67967","0.0-2.0-3.1","","<p>Scegli il premio:</p>","1","407","1","500","60","false"
"3352","","html-button-response","12","71320","0.0-2.0-4.1","","<p>Scegli il premio:</p>","0","391","1","500","60","false"
"2953","","html-button-response","13","74274","0.0-2.0-5.1","","<p>Scegli il premio:</p>","1","383","1","500","60","true"
"1921","","html-button-response","14","76197","0.0-2.0-0.2","","<p>Scegli il premio:</p>","1","5000","0","10000","1","false"
"1987","","html-button-response","15","78184","0.0-2.0-1.2","","<p>Scegli il premio:</p>","0","7500","0","10000","1","false"
"1138","","html-button-response","16","79323","0.0-2.0-2.2","","<p>Scegli il premio:</p>","0","8750","0","10000","1","false"
