"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","success","stimulus","button_pressed","adj_rew","choice","del_rew","del_m","last_ask"
"13455","{""Nome"":""Control_TS"",""Cognome"":""25_B_PRE""}","survey-text","0","13474","0.0-0.0","","","","","","","",""
"","","fullscreen","1","15794","0.0-1.0","true","","","","","","",""
"9764","","html-button-response","2","25559","0.0-2.0-0.0","","<p>Scegli il premio:</p>","1","250","1","500","6","false"
"2031","","html-button-response","3","27591","0.0-2.0-1.0","","<p>Scegli il premio:</p>","0","125","0","500","6","false"
"1247.9999999999964","","html-button-response","4","28840","0.0-2.0-2.0","","<p>Scegli il premio:</p>","0","188","0","500","6","false"
"814","","html-button-response","5","29657","0.0-2.0-3.0","","<p>Scegli il premio:</p>","0","219","0","500","6","false"
"3249","","html-button-response","6","32908","0.0-2.0-4.0","","<p>Scegli il premio:</p>","0","235","1","500","6","false"
"5432","","html-button-response","7","38341","0.0-2.0-5.0","","<p>Scegli il premio:</p>","1","227","1","500","6","true"
"1585.0000000000073","","html-button-response","8","39928","0.0-2.0-0.1","","<p>Scegli il premio:</p>","0","250","1","500","120","false"
"4629.000000000007","","html-button-response","9","44559","0.0-2.0-1.1","","<p>Scegli il premio:</p>","1","125","1","500","120","false"
"928.9999999999927","","html-button-response","10","45491","0.0-2.0-2.1","","<p>Scegli il premio:</p>","0","63","0","500","120","false"
"1234","","html-button-response","11","46726","0.0-2.0-3.1","","<p>Scegli il premio:</p>","1","94","0","500","120","false"
"4298","","html-button-response","12","51025","0.0-2.0-4.1","","<p>Scegli il premio:</p>","0","110","0","500","120","false"
"2434","","html-button-response","13","53461","0.0-2.0-5.1","","<p>Scegli il premio:</p>","1","118","1","500","120","true"
"2880","","html-button-response","14","56342","0.0-2.0-0.2","","<p>Scegli il premio:</p>","1","5000","0","10000","24","false"
"2165","","html-button-response","15","58508","0.0-2.0-1.2","","<p>Scegli il premio:</p>","0","7500","1","10000","24","false"
"1918","","html-button-response","16","60428","0.0-2.0-2.2","","<p>Scegli il premio:</p>","1","6250","0","10000","24","false"
"1626.9999999999927","","html-button-response","17","62057","0.0-2.0-3.2","","<p>Scegli il premio:</p>","0","6875","0","10000","24","false"
"714","","html-button-response","18","62774","0.0-2.0-4.2","","<p>Scegli il premio:</p>","0","7188","0","10000","24","false"
"1802.0000000000073","","html-button-response","19","64578","0.0-2.0-5.2","","<p>Scegli il premio:</p>","1","7422","0","10000","24","true"
"3565","","html-button-response","20","68144","0.0-2.0-0.3","","<p>Scegli il premio:</p>","1","5000","0","10000","120","false"
"1861","","html-button-response","21","70008","0.0-2.0-1.3","","<p>Scegli il premio:</p>","0","7500","1","10000","120","false"
"2885","","html-button-response","22","72894","0.0-2.0-2.3","","<p>Scegli il premio:</p>","1","6250","1","10000","120","false"
"4485","","html-button-response","23","77379","0.0-2.0-3.3","","<p>Scegli il premio:</p>","0","5625","1","10000","120","false"
"1627","","html-button-response","24","79007","0.0-2.0-4.3","","<p>Scegli il premio:</p>","0","5313","0","10000","120","false"
"1198","","html-button-response","25","80207","0.0-2.0-5.3","","<p>Scegli il premio:</p>","0","5547","0","10000","120","true"
