"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","success","stimulus","button_pressed","adj_rew","choice","del_rew","del_m","last_ask"
"18224","{""Nome"":""CONTROL_TS"",""Cognome"":""8B_POST""}","survey-text","0","18238","0.0-0.0","","","","","","","",""
"","","fullscreen","1","65752","0.0-1.0","true","","","","","","",""
"3334","","html-button-response","2","69088","0.0-2.0-0.0","","<p>Scegli il premio:</p>","0","250","0","500","12","false"
"1678","","html-button-response","3","70767","0.0-2.0-1.0","","<p>Scegli il premio:</p>","0","375","0","500","12","false"
"2636","","html-button-response","4","73404","0.0-2.0-2.0","","<p>Scegli il premio:</p>","1","438","1","500","12","false"
"1978","","html-button-response","5","75383","0.0-2.0-3.0","","<p>Scegli il premio:</p>","1","407","0","500","12","false"
"3897","","html-button-response","6","79282","0.0-2.0-4.0","","<p>Scegli il premio:</p>","1","423","1","500","12","false"
"4403","","html-button-response","7","83687","0.0-2.0-5.0","","<p>Scegli il premio:</p>","1","419","0","500","12","true"
"3345","","html-button-response","8","87033","0.0-2.0-0.1","","<p>Scegli il premio:</p>","1","250","1","500","120","false"
"4099","","html-button-response","9","91133","0.0-2.0-1.1","","<p>Scegli il premio:</p>","1","125","1","500","120","false"
"2098.0000000000146","","html-button-response","10","93233","0.0-2.0-2.1","","<p>Scegli il premio:</p>","1","63","0","500","120","false"
"2298","","html-button-response","11","95533","0.0-2.0-3.1","","<p>Scegli il premio:</p>","0","94","0","500","120","false"
"1765","","html-button-response","12","97300","0.0-2.0-4.1","","<p>Scegli il premio:</p>","1","110","0","500","120","false"
"1431.0000000000146","","html-button-response","13","98733","0.0-2.0-5.1","","<p>Scegli il premio:</p>","0","121.5","0","500","120","true"
"3715.0000000000146","","html-button-response","14","102449","0.0-2.0-0.2","","<p>Scegli il premio:</p>","0","5000","0","10000","24","false"
"1852","","html-button-response","15","104304","0.0-2.0-1.2","","<p>Scegli il premio:</p>","1","7500","0","10000","24","false"
"1060","","html-button-response","16","105366","0.0-2.0-2.2","","<p>Scegli il premio:</p>","1","8750","1","10000","24","false"
"1332.0000000000146","","html-button-response","17","106699","0.0-2.0-3.2","","<p>Scegli il premio:</p>","1","8125","1","10000","24","false"
"2370","","html-button-response","18","109070","0.0-2.0-4.2","","<p>Scegli il premio:</p>","0","7813","0","10000","24","false"
"1628.0000000000146","","html-button-response","19","110699","0.0-2.0-5.2","","<p>Scegli il premio:</p>","0","8047","0","10000","24","true"
"2969","","html-button-response","20","113670","0.0-2.0-0.3","","<p>Scegli il premio:</p>","1","250","0","500","6","false"
"1261","","html-button-response","21","114933","0.0-2.0-1.3","","<p>Scegli il premio:</p>","1","375","0","500","6","false"
"1431.0000000000146","","html-button-response","22","116366","0.0-2.0-2.3","","<p>Scegli il premio:</p>","1","438","0","500","6","false"
"1998.0000000000146","","html-button-response","23","118366","0.0-2.0-3.3","","<p>Scegli il premio:</p>","0","469","1","500","6","false"
"1465.0000000000146","","html-button-response","24","119832","0.0-2.0-4.3","","<p>Scegli il premio:</p>","1","454","0","500","6","false"
"1698","","html-button-response","25","121532","0.0-2.0-5.3","","<p>Scegli il premio:</p>","0","462","1","500","6","true"
"1883","","html-button-response","26","123416","0.0-2.0-0.4","","<p>Scegli il premio:</p>","1","250","0","500","24","false"
"1182","","html-button-response","27","124599","0.0-2.0-1.4","","<p>Scegli il premio:</p>","1","375","0","500","24","false"
"1232.9999999999854","","html-button-response","28","125833","0.0-2.0-2.4","","<p>Scegli il premio:</p>","0","438","1","500","24","false"
"2067","","html-button-response","29","127901","0.0-2.0-3.4","","<p>Scegli il premio:</p>","0","407","1","500","24","false"
"948.0000000000146","","html-button-response","30","128851","0.0-2.0-4.4","","<p>Scegli il premio:</p>","1","391","0","500","24","false"
