"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","success","stimulus","button_pressed","adj_rew","choice","del_rew","del_m","last_ask"
"40212","{""Nome"":""CONTROL_TS"",""Cognome"":""10A_PRE""}","survey-text","0","40206","0.0-0.0","","","","","","","",""
"","","fullscreen","1","59356","0.0-1.0","true","","","","","","",""
"4551","","html-button-response","2","63911","0.0-2.0-0.0","","<p>Scegli il premio:</p>","1","250","1","500","60","false"
"8555","","html-button-response","3","72468","0.0-2.0-1.0","","<p>Scegli il premio:</p>","0","125","1","500","60","false"
"4446","","html-button-response","4","76916","0.0-2.0-2.0","","<p>Scegli il premio:</p>","0","63","0","500","60","false"
"2765","","html-button-response","5","79684","0.0-2.0-3.0","","<p>Scegli il premio:</p>","0","94","0","500","60","false"
"3327.9999999999854","","html-button-response","6","83014","0.0-2.0-4.0","","<p>Scegli il premio:</p>","0","110","1","500","60","false"
"1964","","html-button-response","7","84980","0.0-2.0-5.0","","<p>Scegli il premio:</p>","1","106","0","500","60","true"
"9117","","html-button-response","8","94099","0.0-2.0-0.1","","<p>Scegli il premio:</p>","0","5000","1","10000","120","false"
"1749","","html-button-response","9","95850","0.0-2.0-1.1","","<p>Scegli il premio:</p>","1","2500","0","10000","120","false"
"2215","","html-button-response","10","98067","0.0-2.0-2.1","","<p>Scegli il premio:</p>","1","3750","0","10000","120","false"
"5397","","html-button-response","11","103467","0.0-2.0-3.1","","<p>Scegli il premio:</p>","1","4375","1","10000","120","false"
"2461","","html-button-response","12","105930","0.0-2.0-4.1","","<p>Scegli il premio:</p>","0","4063","0","10000","120","false"
"1620.0000000000146","","html-button-response","13","107551","0.0-2.0-5.1","","<p>Scegli il premio:</p>","1","4297","0","10000","120","true"
"2815","","html-button-response","14","110368","0.0-2.0-0.2","","<p>Scegli il premio:</p>","0","5000","0","10000","24","false"
"1931","","html-button-response","15","112301","0.0-2.0-1.2","","<p>Scegli il premio:</p>","1","7500","1","10000","24","false"
"2182","","html-button-response","16","114485","0.0-2.0-2.2","","<p>Scegli il premio:</p>","0","6250","0","10000","24","false"
"3646","","html-button-response","17","118132","0.0-2.0-3.2","","<p>Scegli il premio:</p>","1","6875","0","10000","24","false"
"2529","","html-button-response","18","120662","0.0-2.0-4.2","","<p>Scegli il premio:</p>","0","7188","1","10000","24","false"
