"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","success","stimulus","button_pressed","adj_rew","choice","del_rew","del_m","last_ask"
"15602.000000000002","{""Nome"":""control_ts"",""Cognome"":""31_A_post""}","survey-text","0","15615","0.0-0.0","","","","","","","",""
"","","fullscreen","1","39982","0.0-1.0","true","","","","","","",""
"7411","","html-button-response","2","47398","0.0-2.0-0.0","","<p>Scegli il premio:</p>","0","5000","0","10000","60","false"
"3132","","html-button-response","3","50531","0.0-2.0-1.0","","<p>Scegli il premio:</p>","1","7500","0","10000","60","false"
"1381","","html-button-response","4","51914","0.0-2.0-2.0","","<p>Scegli il premio:</p>","0","8750","0","10000","60","false"
"2849","","html-button-response","5","54764","0.0-2.0-3.0","","<p>Scegli il premio:</p>","0","9375","1","10000","60","false"
"2615.0000000000073","","html-button-response","6","57382","0.0-2.0-4.0","","<p>Scegli il premio:</p>","0","9063","1","10000","60","false"
"1132","","html-button-response","7","58515","0.0-2.0-5.0","","<p>Scegli il premio:</p>","1","8985","0","10000","60","true"
"2798","","html-button-response","8","61315","0.0-2.0-0.1","","<p>Scegli il premio:</p>","1","5000","0","10000","120","false"
"982","","html-button-response","9","62298","0.0-2.0-1.1","","<p>Scegli il premio:</p>","1","7500","0","10000","120","false"
"1582.9999999999927","","html-button-response","10","63882","0.0-2.0-2.1","","<p>Scegli il premio:</p>","0","8750","0","10000","120","false"
"2015.9999999999927","","html-button-response","11","65899","0.0-2.0-3.1","","<p>Scegli il premio:</p>","0","9375","1","10000","120","false"
"1449","","html-button-response","12","67349","0.0-2.0-4.1","","<p>Scegli il premio:</p>","0","9063","1","10000","120","false"
"1031","","html-button-response","13","68382","0.0-2.0-5.1","","<p>Scegli il premio:</p>","1","8985","0","10000","120","true"
"5134","","html-button-response","14","73516","0.0-2.0-0.2","","<p>Scegli il premio:</p>","1","250","0","500","60","false"
"1315.9999999999854","","html-button-response","15","74833","0.0-2.0-1.2","","<p>Scegli il premio:</p>","0","375","0","500","60","false"
"1482","","html-button-response","16","76316","0.0-2.0-2.2","","<p>Scegli il premio:</p>","1","438","1","500","60","false"
"1265","","html-button-response","17","77583","0.0-2.0-3.2","","<p>Scegli il premio:</p>","0","407","1","500","60","false"
"1999","","html-button-response","18","79584","0.0-2.0-4.2","","<p>Scegli il premio:</p>","0","391","0","500","60","false"
"1749","","html-button-response","19","81334","0.0-2.0-5.2","","<p>Scegli il premio:</p>","1","403","0","500","60","true"
"7382","","html-button-response","20","88717","0.0-2.0-0.3","","<p>Scegli il premio:</p>","1","5000","0","10000","24","false"
"2133","","html-button-response","21","90851","0.0-2.0-1.3","","<p>Scegli il premio:</p>","1","7500","0","10000","24","false"
"1499","","html-button-response","22","92352","0.0-2.0-2.3","","<p>Scegli il premio:</p>","0","8750","0","10000","24","false"
"1199.0000000000146","","html-button-response","23","93552","0.0-2.0-3.3","","<p>Scegli il premio:</p>","1","9375","1","10000","24","false"
"1249","","html-button-response","24","94802","0.0-2.0-4.3","","<p>Scegli il premio:</p>","0","9063","1","10000","24","false"
"749","","html-button-response","25","95552","0.0-2.0-5.3","","<p>Scegli il premio:</p>","1","8985","0","10000","24","true"
"2066","","html-button-response","26","97619","0.0-2.0-0.4","","<p>Scegli il premio:</p>","0","5000","0","10000","6","false"
"698","","html-button-response","27","98319","0.0-2.0-1.4","","<p>Scegli il premio:</p>","0","7500","0","10000","6","false"
"666","","html-button-response","28","98986","0.0-2.0-2.4","","<p>Scegli il premio:</p>","0","8750","0","10000","6","false"
"1316","","html-button-response","29","100302","0.0-2.0-3.4","","<p>Scegli il premio:</p>","0","9375","1","10000","6","false"
"1082","","html-button-response","30","101386","0.0-2.0-4.4","","<p>Scegli il premio:</p>","1","9063","1","10000","6","false"
"1849","","html-button-response","31","103236","0.0-2.0-5.4","","<p>Scegli il premio:</p>","1","8985","0","10000","6","true"
"1382","","html-button-response","32","104620","0.0-2.0-0.5","","<p>Scegli il premio:</p>","0","250","0","500","1","false"
"683","","html-button-response","33","105303","0.0-2.0-1.5","","<p>Scegli il premio:</p>","0","375","0","500","1","false"
"1164.9999999999854","","html-button-response","34","106470","0.0-2.0-2.5","","<p>Scegli il premio:</p>","1","438","1","500","1","false"
"1316.0000000000146","","html-button-response","35","107787","0.0-2.0-3.5","","<p>Scegli il premio:</p>","0","407","1","500","1","false"
"814","","html-button-response","36","108602","0.0-2.0-4.5","","<p>Scegli il premio:</p>","1","391","0","500","1","false"
"1217.0000000000146","","html-button-response","37","109820","0.0-2.0-5.5","","<p>Scegli il premio:</p>","1","403","0","500","1","true"
"1398","","html-button-response","38","111219","0.0-2.0-0.6","","<p>Scegli il premio:</p>","1","250","0","500","24","false"
"1016","","html-button-response","39","112237","0.0-2.0-1.6","","<p>Scegli il premio:</p>","0","375","0","500","24","false"
"1165","","html-button-response","40","113404","0.0-2.0-2.6","","<p>Scegli il premio:</p>","1","438","1","500","24","false"
"1482","","html-button-response","41","114887","0.0-2.0-3.6","","<p>Scegli il premio:</p>","0","407","1","500","24","false"
"832","","html-button-response","42","115720","0.0-2.0-4.6","","<p>Scegli il premio:</p>","1","391","0","500","24","false"
"1315.0000000000146","","html-button-response","43","117037","0.0-2.0-5.6","","<p>Scegli il premio:</p>","1","403","0","500","24","true"
"1499.0000000000146","","html-button-response","44","118538","0.0-2.0-0.7","","<p>Scegli il premio:</p>","1","5000","0","10000","1","false"
"1082","","html-button-response","45","119621","0.0-2.0-1.7","","<p>Scegli il premio:</p>","1","7500","0","10000","1","false"
"1700","","html-button-response","46","121322","0.0-2.0-2.7","","<p>Scegli il premio:</p>","0","8750","0","10000","1","false"
"814.9999999999854","","html-button-response","47","122138","0.0-2.0-3.7","","<p>Scegli il premio:</p>","1","9375","1","10000","1","false"
"1116","","html-button-response","48","123255","0.0-2.0-4.7","","<p>Scegli il premio:</p>","0","9063","1","10000","1","false"
"1416","","html-button-response","49","124672","0.0-2.0-5.7","","<p>Scegli il premio:</p>","0","8985","0","10000","1","true"
"1148","","html-button-response","50","125822","0.0-2.0-0.8","","<p>Scegli il premio:</p>","1","250","0","500","120","false"
"1216","","html-button-response","51","127038","0.0-2.0-1.8","","<p>Scegli il premio:</p>","0","375","0","500","120","false"
"1332","","html-button-response","52","128371","0.0-2.0-2.8","","<p>Scegli il premio:</p>","1","438","1","500","120","false"
"1166","","html-button-response","53","129539","0.0-2.0-3.8","","<p>Scegli il premio:</p>","1","407","1","500","120","false"
"1266","","html-button-response","54","130806","0.0-2.0-4.8","","<p>Scegli il premio:</p>","0","391","0","500","120","false"
