"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","success","stimulus","button_pressed","adj_rew","choice","del_rew","del_m","last_ask"
"29227","{""Nome"":""CONTROL_TS"",""Cognome"":""7B_POST""}","survey-text","0","29231","0.0-0.0","","","","","","","",""
"","","fullscreen","1","36483","0.0-1.0","true","","","","","","",""
"1940","","html-button-response","2","38427","0.0-2.0-0.0","","<p>Scegli il premio:</p>","1","250","1","500","6","false"
"1451","","html-button-response","3","39879","0.0-2.0-1.0","","<p>Scegli il premio:</p>","0","125","1","500","6","false"
"1414","","html-button-response","4","41295","0.0-2.0-2.0","","<p>Scegli il premio:</p>","1","63","0","500","6","false"
"1581","","html-button-response","5","42877","0.0-2.0-3.0","","<p>Scegli il premio:</p>","1","94","1","500","6","false"
"1597.9999999999927","","html-button-response","6","44476","0.0-2.0-4.0","","<p>Scegli il premio:</p>","0","79","1","500","6","false"
"1399","","html-button-response","7","45876","0.0-2.0-5.0","","<p>Scegli il premio:</p>","0","71","1","500","6","true"
"1882.9999999999927","","html-button-response","8","47761","0.0-2.0-0.1","","<p>Scegli il premio:</p>","0","5000","1","10000","1","false"
"1516","","html-button-response","9","49281","0.0-2.0-1.1","","<p>Scegli il premio:</p>","1","2500","0","10000","1","false"
"1233","","html-button-response","10","50518","0.0-2.0-2.1","","<p>Scegli il premio:</p>","1","3750","0","10000","1","false"
"1398","","html-button-response","11","51917","0.0-2.0-3.1","","<p>Scegli il premio:</p>","1","4375","0","10000","1","false"
"1099.0000000000073","","html-button-response","12","53018","0.0-2.0-4.1","","<p>Scegli il premio:</p>","1","4688","0","10000","1","false"
"1613","","html-button-response","13","54632","0.0-2.0-5.1","","<p>Scegli il premio:</p>","0","4922","0","10000","1","true"
"1795.9999999999927","","html-button-response","14","56430","0.0-2.0-0.2","","<p>Scegli il premio:</p>","1","5000","1","10000","24","false"
"1132.0000000000073","","html-button-response","15","57564","0.0-2.0-1.2","","<p>Scegli il premio:</p>","1","2500","1","10000","24","false"
"1057","","html-button-response","16","58623","0.0-2.0-2.2","","<p>Scegli il premio:</p>","1","1250","1","10000","24","false"
"1413.9999999999927","","html-button-response","17","60039","0.0-2.0-3.2","","<p>Scegli il premio:</p>","1","625","0","10000","24","false"
"4597.000000000007","","html-button-response","18","64639","0.0-2.0-4.2","","<p>Scegli il premio:</p>","0","938","0","10000","24","false"
"982","","html-button-response","19","65622","0.0-2.0-5.2","","<p>Scegli il premio:</p>","0","1172","0","10000","24","true"
"2370","","html-button-response","20","67994","0.0-2.0-0.3","","<p>Scegli il premio:</p>","0","250","1","500","12","false"
"873","","html-button-response","21","68868","0.0-2.0-1.3","","<p>Scegli il premio:</p>","1","125","1","500","12","false"
"865","","html-button-response","22","69735","0.0-2.0-2.3","","<p>Scegli il premio:</p>","1","63","1","500","12","false"
"3142","","html-button-response","23","72878","0.0-2.0-3.3","","<p>Scegli il premio:</p>","0","32","1","500","12","false"
"1452","","html-button-response","24","74331","0.0-2.0-4.3","","<p>Scegli il premio:</p>","0","16","0","500","12","false"
"1587","","html-button-response","25","75920","0.0-2.0-5.3","","<p>Scegli il premio:</p>","1","28","0","500","12","true"
"2296","","html-button-response","26","78218","0.0-2.0-0.4","","<p>Scegli il premio:</p>","0","250","1","500","60","false"
"949","","html-button-response","27","79169","0.0-2.0-1.4","","<p>Scegli il premio:</p>","0","125","1","500","60","false"
"1521","","html-button-response","28","80691","0.0-2.0-2.4","","<p>Scegli il premio:</p>","1","63","1","500","60","false"
"1515.9999999999854","","html-button-response","29","82210","0.0-2.0-3.4","","<p>Scegli il premio:</p>","0","32","1","500","60","false"
"2353","","html-button-response","30","84564","0.0-2.0-4.4","","<p>Scegli il premio:</p>","1","16","0","500","60","false"
"1119","","html-button-response","31","85686","0.0-2.0-5.4","","<p>Scegli il premio:</p>","1","28","0","500","60","true"
"1413","","html-button-response","32","87101","0.0-2.0-0.5","","<p>Scegli il premio:</p>","1","250","0","500","1","false"
"1681","","html-button-response","33","88784","0.0-2.0-1.5","","<p>Scegli il premio:</p>","1","375","0","500","1","false"
"1496","","html-button-response","34","90282","0.0-2.0-2.5","","<p>Scegli il premio:</p>","1","438","1","500","1","false"
"3663.0000000000146","","html-button-response","35","93947","0.0-2.0-3.5","","<p>Scegli il premio:</p>","1","407","0","500","1","false"
"1434","","html-button-response","36","95385","0.0-2.0-4.5","","<p>Scegli il premio:</p>","0","423","1","500","1","false"
"6824","","html-button-response","37","102211","0.0-2.0-5.5","","<p>Scegli il premio:</p>","0","419","0","500","1","true"
"1485","","html-button-response","38","103697","0.0-2.0-0.6","","<p>Scegli il premio:</p>","0","5000","1","10000","120","false"
"848","","html-button-response","39","104548","0.0-2.0-1.6","","<p>Scegli il premio:</p>","0","2500","1","10000","120","false"
"1429","","html-button-response","40","105981","0.0-2.0-2.6","","<p>Scegli il premio:</p>","1","1250","1","10000","120","false"
"1393","","html-button-response","41","107376","0.0-2.0-3.6","","<p>Scegli il premio:</p>","0","625","1","10000","120","false"
"997","","html-button-response","42","108375","0.0-2.0-4.6","","<p>Scegli il premio:</p>","0","313","0","10000","120","false"
"875","","html-button-response","43","109251","0.0-2.0-5.6","","<p>Scegli il premio:</p>","1","547","0","10000","120","true"
"1899","","html-button-response","44","111151","0.0-2.0-0.7","","<p>Scegli il premio:</p>","0","5000","1","10000","60","false"
"1774","","html-button-response","45","112926","0.0-2.0-1.7","","<p>Scegli il premio:</p>","1","2500","1","10000","60","false"
"1093","","html-button-response","46","114021","0.0-2.0-2.7","","<p>Scegli il premio:</p>","1","1250","1","10000","60","false"
"920.0000000000146","","html-button-response","47","114943","0.0-2.0-3.7","","<p>Scegli il premio:</p>","1","625","1","10000","60","false"
"3366","","html-button-response","48","118313","0.0-2.0-4.7","","<p>Scegli il premio:</p>","0","313","0","10000","60","false"
"2181.9999999999854","","html-button-response","49","120498","0.0-2.0-5.7","","<p>Scegli il premio:</p>","1","547","0","10000","60","true"
"2831.0000000000146","","html-button-response","50","123334","0.0-2.0-0.8","","<p>Scegli il premio:</p>","0","5000","1","10000","12","false"
"1113","","html-button-response","51","124451","0.0-2.0-1.8","","<p>Scegli il premio:</p>","1","2500","1","10000","12","false"
"5167.999999999985","","html-button-response","52","129633","0.0-2.0-2.8","","<p>Scegli il premio:</p>","1","1250","1","10000","12","false"
"1351.9999999999854","","html-button-response","53","130989","0.0-2.0-3.8","","<p>Scegli il premio:</p>","1","625","0","10000","12","false"
"1586","","html-button-response","54","132581","0.0-2.0-4.8","","<p>Scegli il premio:</p>","0","938","0","10000","12","false"
"1883","","html-button-response","55","134470","0.0-2.0-5.8","","<p>Scegli il premio:</p>","1","1172","0","10000","12","true"
"4051","","html-button-response","56","138528","0.0-2.0-0.9","","<p>Scegli il premio:</p>","1","5000","1","10000","6","false"
"693.9999999999709","","html-button-response","57","139225","0.0-2.0-1.9","","<p>Scegli il premio:</p>","1","2500","1","10000","6","false"
"2660","","html-button-response","58","141890","0.0-2.0-2.9","","<p>Scegli il premio:</p>","1","1250","0","10000","6","false"
"1182","","html-button-response","59","143075","0.0-2.0-3.9","","<p>Scegli il premio:</p>","1","1875","0","10000","6","false"
"1413","","html-button-response","60","144492","0.0-2.0-4.9","","<p>Scegli il premio:</p>","1","2188","1","10000","6","false"
"1054.000000000029","","html-button-response","61","145548","0.0-2.0-5.9","","<p>Scegli il premio:</p>","1","2032","1","10000","6","true"
"1751","","html-button-response","62","147303","0.0-2.0-0.10","","<p>Scegli il premio:</p>","1","250","1","500","24","false"
"845","","html-button-response","63","148150","0.0-2.0-1.10","","<p>Scegli il premio:</p>","0","125","1","500","24","false"
"893.9999999999709","","html-button-response","64","149046","0.0-2.0-2.10","","<p>Scegli il premio:</p>","1","63","1","500","24","false"
"944","","html-button-response","65","149993","0.0-2.0-3.10","","<p>Scegli il premio:</p>","0","32","0","500","24","false"
"760","","html-button-response","66","150755","0.0-2.0-4.10","","<p>Scegli il premio:</p>","0","48","0","500","24","false"
"1377","","html-button-response","67","152135","0.0-2.0-5.10","","<p>Scegli il premio:</p>","0","56","1","500","24","true"
"2181","","html-button-response","68","154318","0.0-2.0-0.11","","<p>Scegli il premio:</p>","0","250","1","500","120","false"
"685","","html-button-response","69","155006","0.0-2.0-1.11","","<p>Scegli il premio:</p>","0","125","1","500","120","false"
"1026","","html-button-response","70","156035","0.0-2.0-2.11","","<p>Scegli il premio:</p>","0","63","1","500","120","false"
"2161","","html-button-response","71","158199","0.0-2.0-3.11","","<p>Scegli il premio:</p>","1","32","1","500","120","false"
"1116.000000000029","","html-button-response","72","159318","0.0-2.0-4.11","","<p>Scegli il premio:</p>","1","16","0","500","120","false"
"1284","","html-button-response","73","160604","0.0-2.0-5.11","","<p>Scegli il premio:</p>","1","28","0","500","120","true"
