"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","success","stimulus","button_pressed","adj_rew","choice","del_rew","del_m","last_ask"
"10920","{""Nome"":""CONTROL_TS"",""Cognome"":""7A_POST""}","survey-text","0","10934","0.0-0.0","","","","","","","",""
"","","fullscreen","1","17337","0.0-1.0","true","","","","","","",""
"2644.0000000000036","","html-button-response","2","19985","0.0-2.0-0.0","","<p>Scegli il premio:</p>","1","250","1","500","120","false"
"1363.9999999999964","","html-button-response","3","21350","0.0-2.0-1.0","","<p>Scegli il premio:</p>","1","125","1","500","120","false"
"1333","","html-button-response","4","22684","0.0-2.0-2.0","","<p>Scegli il premio:</p>","1","63","1","500","120","false"
"3301.0000000000036","","html-button-response","5","25986","0.0-2.0-3.0","","<p>Scegli il premio:</p>","0","32","1","500","120","false"
"1282","","html-button-response","6","27270","0.0-2.0-4.0","","<p>Scegli il premio:</p>","0","16","1","500","120","false"
"2467","","html-button-response","7","29738","0.0-2.0-5.0","","<p>Scegli il premio:</p>","1","8","1","500","120","true"
"2061","","html-button-response","8","31801","0.0-2.0-0.1","","<p>Scegli il premio:</p>","0","5000","0","10000","1","false"
"2948.0000000000036","","html-button-response","9","34751","0.0-2.0-1.1","","<p>Scegli il premio:</p>","1","7500","0","10000","1","false"
"1648","","html-button-response","10","36400","0.0-2.0-2.1","","<p>Scegli il premio:</p>","0","8750","0","10000","1","false"
"2715","","html-button-response","11","39117","0.0-2.0-3.1","","<p>Scegli il premio:</p>","0","9375","1","10000","1","false"
"1315","","html-button-response","12","40434","0.0-2.0-4.1","","<p>Scegli il premio:</p>","0","9063","1","10000","1","false"
"2881","","html-button-response","13","43317","0.0-2.0-5.1","","<p>Scegli il premio:</p>","0","8985","0","10000","1","true"
"2698","","html-button-response","14","46017","0.0-2.0-0.2","","<p>Scegli il premio:</p>","0","250","1","500","60","false"
"1518","","html-button-response","15","47537","0.0-2.0-1.2","","<p>Scegli il premio:</p>","1","125","1","500","60","false"
"1994","","html-button-response","16","49533","0.0-2.0-2.2","","<p>Scegli il premio:</p>","0","63","1","500","60","false"
"1065.0000000000073","","html-button-response","17","50600","0.0-2.0-3.2","","<p>Scegli il premio:</p>","0","32","1","500","60","false"
"2131","","html-button-response","18","52733","0.0-2.0-4.2","","<p>Scegli il premio:</p>","0","16","0","500","60","false"
"1582","","html-button-response","19","54317","0.0-2.0-5.2","","<p>Scegli il premio:</p>","0","28","0","500","60","true"
"2335","","html-button-response","20","56654","0.0-2.0-0.3","","<p>Scegli il premio:</p>","1","5000","1","10000","24","false"
"3994","","html-button-response","21","60649","0.0-2.0-1.3","","<p>Scegli il premio:</p>","0","2500","1","10000","24","false"
"1417","","html-button-response","22","62067","0.0-2.0-2.3","","<p>Scegli il premio:</p>","1","1250","1","10000","24","false"
"1648","","html-button-response","23","63718","0.0-2.0-3.3","","<p>Scegli il premio:</p>","1","625","0","10000","24","false"
"1897.0000000000073","","html-button-response","24","65617","0.0-2.0-4.3","","<p>Scegli il premio:</p>","1","938","0","10000","24","false"
"2265","","html-button-response","25","67883","0.0-2.0-5.3","","<p>Scegli il premio:</p>","0","1172","0","10000","24","true"
"2148","","html-button-response","26","70033","0.0-2.0-0.4","","<p>Scegli il premio:</p>","1","5000","1","10000","120","false"
"3098","","html-button-response","27","73133","0.0-2.0-1.4","","<p>Scegli il premio:</p>","1","2500","1","10000","120","false"
"2437","","html-button-response","28","75571","0.0-2.0-2.4","","<p>Scegli il premio:</p>","0","1250","1","10000","120","false"
"1811","","html-button-response","29","77383","0.0-2.0-3.4","","<p>Scegli il premio:</p>","0","625","0","10000","120","false"
"1269","","html-button-response","30","78654","0.0-2.0-4.4","","<p>Scegli il premio:</p>","1","938","0","10000","120","false"
"1394","","html-button-response","31","80049","0.0-2.0-5.4","","<p>Scegli il premio:</p>","1","1172","0","10000","120","true"
"1418.0000000000146","","html-button-response","32","81468","0.0-2.0-0.5","","<p>Scegli il premio:</p>","0","5000","1","10000","60","false"
"1613","","html-button-response","33","83083","0.0-2.0-1.5","","<p>Scegli il premio:</p>","0","2500","1","10000","60","false"
"2552.9999999999854","","html-button-response","34","85637","0.0-2.0-2.5","","<p>Scegli il premio:</p>","1","1250","1","10000","60","false"
"1595","","html-button-response","35","87233","0.0-2.0-3.5","","<p>Scegli il premio:</p>","0","625","0","10000","60","false"
"1450","","html-button-response","36","88685","0.0-2.0-4.5","","<p>Scegli il premio:</p>","1","938","0","10000","60","false"
"2014.0000000000146","","html-button-response","37","90700","0.0-2.0-5.5","","<p>Scegli il premio:</p>","1","1172","0","10000","60","true"
"1686","","html-button-response","38","92387","0.0-2.0-0.6","","<p>Scegli il premio:</p>","0","5000","1","10000","12","false"
"2244","","html-button-response","39","94633","0.0-2.0-1.6","","<p>Scegli il premio:</p>","0","2500","0","10000","12","false"
"1685","","html-button-response","40","96320","0.0-2.0-2.6","","<p>Scegli il premio:</p>","1","3750","0","10000","12","false"
"1446","","html-button-response","41","97766","0.0-2.0-3.6","","<p>Scegli il premio:</p>","1","4375","0","10000","12","false"
"1498","","html-button-response","42","99267","0.0-2.0-4.6","","<p>Scegli il premio:</p>","1","4688","0","10000","12","false"
"1581","","html-button-response","43","100850","0.0-2.0-5.6","","<p>Scegli il premio:</p>","1","4922","0","10000","12","true"
"2997.9999999999854","","html-button-response","44","103849","0.0-2.0-0.7","","<p>Scegli il premio:</p>","1","250","1","500","12","false"
"2184.9999999999854","","html-button-response","45","106036","0.0-2.0-1.7","","<p>Scegli il premio:</p>","0","125","1","500","12","false"
"1329","","html-button-response","46","107366","0.0-2.0-2.7","","<p>Scegli il premio:</p>","0","63","0","500","12","false"
"1281","","html-button-response","47","108649","0.0-2.0-3.7","","<p>Scegli il premio:</p>","0","94","0","500","12","false"
"1636","","html-button-response","48","110287","0.0-2.0-4.7","","<p>Scegli il premio:</p>","1","110","1","500","12","false"
"1428","","html-button-response","49","111716","0.0-2.0-5.7","","<p>Scegli il premio:</p>","0","102","1","500","12","true"
"1348","","html-button-response","50","113065","0.0-2.0-0.8","","<p>Scegli il premio:</p>","0","250","1","500","1","false"
"3900.0000000000146","","html-button-response","51","116966","0.0-2.0-1.8","","<p>Scegli il premio:</p>","0","125","0","500","1","false"
"1431","","html-button-response","52","118399","0.0-2.0-2.8","","<p>Scegli il premio:</p>","1","188","0","500","1","false"
"1132","","html-button-response","53","119533","0.0-2.0-3.8","","<p>Scegli il premio:</p>","1","219","0","500","1","false"
"1482","","html-button-response","54","121016","0.0-2.0-4.8","","<p>Scegli il premio:</p>","0","235","0","500","1","false"
"1065.0000000000146","","html-button-response","55","122082","0.0-2.0-5.8","","<p>Scegli il premio:</p>","0","246.5","0","500","1","true"
"2414","","html-button-response","56","124498","0.0-2.0-0.9","","<p>Scegli il premio:</p>","0","250","0","500","24","false"
"6820","","html-button-response","57","131319","0.0-2.0-1.9","","<p>Scegli il premio:</p>","0","375","1","500","24","false"
"895","","html-button-response","58","132216","0.0-2.0-2.9","","<p>Scegli il premio:</p>","0","313","1","500","24","false"
"1519","","html-button-response","59","133735","0.0-2.0-3.9","","<p>Scegli il premio:</p>","1","282","1","500","24","false"
"1630","","html-button-response","60","135367","0.0-2.0-4.9","","<p>Scegli il premio:</p>","0","266","1","500","24","false"
"1316.000000000029","","html-button-response","61","136685","0.0-2.0-5.9","","<p>Scegli il premio:</p>","1","258","1","500","24","true"
"1913","","html-button-response","62","138599","0.0-2.0-0.10","","<p>Scegli il premio:</p>","0","5000","0","10000","6","false"
"1749","","html-button-response","63","140349","0.0-2.0-1.10","","<p>Scegli il premio:</p>","0","7500","0","10000","6","false"
"1566.000000000029","","html-button-response","64","141916","0.0-2.0-2.10","","<p>Scegli il premio:</p>","0","8750","0","10000","6","false"
"1720","","html-button-response","65","143637","0.0-2.0-3.10","","<p>Scegli il premio:</p>","1","9375","1","10000","6","false"
"1111","","html-button-response","66","144749","0.0-2.0-4.10","","<p>Scegli il premio:</p>","1","9063","1","10000","6","false"
"2620","","html-button-response","67","147369","0.0-2.0-5.10","","<p>Scegli il premio:</p>","1","8985","0","10000","6","true"
"4115","","html-button-response","68","151485","0.0-2.0-0.11","","<p>Scegli il premio:</p>","1","250","0","500","6","false"
"979","","html-button-response","69","152465","0.0-2.0-1.11","","<p>Scegli il premio:</p>","1","375","0","500","6","false"
"1149","","html-button-response","70","153615","0.0-2.0-2.11","","<p>Scegli il premio:</p>","0","438","1","500","6","false"
"1204.000000000029","","html-button-response","71","154820","0.0-2.0-3.11","","<p>Scegli il premio:</p>","0","407","1","500","6","false"
"1243.000000000029","","html-button-response","72","156065","0.0-2.0-4.11","","<p>Scegli il premio:</p>","1","391","0","500","6","false"
"1635.000000000029","","html-button-response","73","157701","0.0-2.0-5.11","","<p>Scegli il premio:</p>","0","403","0","500","6","true"
"1064.000000000029","","html-button-response","74","158766","0.0-3.0","","<p>Grazie per aver partecipato. Clicca sul tasto 'Fine' per uscire.</p>","0","","","","",""
"","","fullscreen","75","159768","0.0-4.0","true","","","","","","",""
