"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","success","stimulus","button_pressed","adj_rew","choice","del_rew","del_m","last_ask"
"18871","{""Nome"":""Control_TS"",""Cognome"":""26_A_POST""}","survey-text","0","18881","0.0-0.0","","","","","","","",""
"","","fullscreen","1","24553","0.0-1.0","true","","","","","","",""
"2316","","html-button-response","2","26870","0.0-2.0-0.0","","<p>Scegli il premio:</p>","1","5000","1","10000","12","false"
"1796","","html-button-response","3","28667","0.0-2.0-1.0","","<p>Scegli il premio:</p>","0","2500","1","10000","12","false"
"2997","","html-button-response","4","31664","0.0-2.0-2.0","","<p>Scegli il premio:</p>","0","1250","0","10000","12","false"
"2885","","html-button-response","5","34551","0.0-2.0-3.0","","<p>Scegli il premio:</p>","1","1875","0","10000","12","false"
"2987","","html-button-response","6","37538","0.0-2.0-4.0","","<p>Scegli il premio:</p>","1","2188","1","10000","12","false"
"825","","html-button-response","7","38363","0.0-2.0-5.0","","<p>Scegli il premio:</p>","1","2032","1","10000","12","true"
"2018.0000000000073","","html-button-response","8","40383","0.0-2.0-0.1","","<p>Scegli il premio:</p>","1","5000","1","10000","120","false"
"1136","","html-button-response","9","41519","0.0-2.0-1.1","","<p>Scegli il premio:</p>","1","2500","1","10000","120","false"
"556","","html-button-response","10","42077","0.0-2.0-2.1","","<p>Scegli il premio:</p>","1","1250","1","10000","120","false"
"2487","","html-button-response","11","44565","0.0-2.0-3.1","","<p>Scegli il premio:</p>","1","625","0","10000","120","false"
"2787.9999999999927","","html-button-response","12","47354","0.0-2.0-4.1","","<p>Scegli il premio:</p>","0","938","0","10000","120","false"
"1673","","html-button-response","13","49028","0.0-2.0-5.1","","<p>Scegli il premio:</p>","1","1094","1","10000","120","true"
"1902","","html-button-response","14","50931","0.0-2.0-0.2","","<p>Scegli il premio:</p>","1","250","1","500","12","false"
"1391.9999999999927","","html-button-response","15","52324","0.0-2.0-1.2","","<p>Scegli il premio:</p>","0","125","1","500","12","false"
"1422.0000000000073","","html-button-response","16","53746","0.0-2.0-2.2","","<p>Scegli il premio:</p>","0","63","0","500","12","false"
"3302","","html-button-response","17","57050","0.0-2.0-3.2","","<p>Scegli il premio:</p>","0","94","1","500","12","false"
"3186","","html-button-response","18","60236","0.0-2.0-4.2","","<p>Scegli il premio:</p>","0","79","0","500","12","false"
"958","","html-button-response","19","61196","0.0-2.0-5.2","","<p>Scegli il premio:</p>","0","90.5","0","500","12","true"
"1418","","html-button-response","20","62615","0.0-2.0-0.3","","<p>Scegli il premio:</p>","1","250","1","500","1","false"
"1585.9999999999927","","html-button-response","21","64201","0.0-2.0-1.3","","<p>Scegli il premio:</p>","0","125","1","500","1","false"
"1155","","html-button-response","22","65357","0.0-2.0-2.3","","<p>Scegli il premio:</p>","1","63","0","500","1","false"
"1818","","html-button-response","23","67177","0.0-2.0-3.3","","<p>Scegli il premio:</p>","1","94","0","500","1","false"
"2836.9999999999854","","html-button-response","24","70014","0.0-2.0-4.3","","<p>Scegli il premio:</p>","0","110","0","500","1","false"
"806","","html-button-response","25","70821","0.0-2.0-5.3","","<p>Scegli il premio:</p>","0","121.5","0","500","1","true"
"1902","","html-button-response","26","72724","0.0-2.0-0.4","","<p>Scegli il premio:</p>","1","5000","1","10000","24","false"
"3021","","html-button-response","27","75745","0.0-2.0-1.4","","<p>Scegli il premio:</p>","0","2500","1","10000","24","false"
"1317","","html-button-response","28","77063","0.0-2.0-2.4","","<p>Scegli il premio:</p>","1","1250","1","10000","24","false"
"4219","","html-button-response","29","81283","0.0-2.0-3.4","","<p>Scegli il premio:</p>","1","625","0","10000","24","false"
"1654.0000000000146","","html-button-response","30","82937","0.0-2.0-4.4","","<p>Scegli il premio:</p>","1","938","0","10000","24","false"
"2789","","html-button-response","31","85728","0.0-2.0-5.4","","<p>Scegli il premio:</p>","0","1172","0","10000","24","true"
"1388","","html-button-response","32","87117","0.0-2.0-0.5","","<p>Scegli il premio:</p>","1","250","1","500","120","false"
"1987","","html-button-response","33","89104","0.0-2.0-1.5","","<p>Scegli il premio:</p>","0","125","1","500","120","false"
