"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","success","stimulus","button_pressed","adj_rew","choice","del_rew","del_m","last_ask"
"15200","{""Nome"":""Control_TS"",""Cognome"":""5_A_POST""}","survey-text","0","15210","0.0-0.0","","","","","","","",""
"","","fullscreen","1","20463","0.0-1.0","true","","","","","","",""
"4760","","html-button-response","2","25224","0.0-2.0-0.0","","<p>Scegli il premio:</p>","1","250","1","500","120","false"
"2550","","html-button-response","3","27774","0.0-2.0-1.0","","<p>Scegli il premio:</p>","1","125","0","500","120","false"
"1380","","html-button-response","4","29154","0.0-2.0-2.0","","<p>Scegli il premio:</p>","0","188","0","500","120","false"
"823","","html-button-response","5","29978","0.0-2.0-3.0","","<p>Scegli il premio:</p>","0","219","0","500","120","false"
"2407.9999999999964","","html-button-response","6","32386","0.0-2.0-4.0","","<p>Scegli il premio:</p>","0","235","1","500","120","false"
"1407.9999999999964","","html-button-response","7","33795","0.0-2.0-5.0","","<p>Scegli il premio:</p>","0","227","1","500","120","true"
"941","","html-button-response","8","34737","0.0-2.0-0.1","","<p>Scegli il premio:</p>","0","250","1","500","24","false"
"2413","","html-button-response","9","37151","0.0-2.0-1.1","","<p>Scegli il premio:</p>","0","125","1","500","24","false"
"1935","","html-button-response","10","39086","0.0-2.0-2.1","","<p>Scegli il premio:</p>","0","63","0","500","24","false"
"1540.0000000000073","","html-button-response","11","40627","0.0-2.0-3.1","","<p>Scegli il premio:</p>","1","94","0","500","24","false"
"806","","html-button-response","12","41434","0.0-2.0-4.1","","<p>Scegli il premio:</p>","1","110","0","500","24","false"
"705.0000000000073","","html-button-response","13","42139","0.0-2.0-5.1","","<p>Scegli il premio:</p>","1","121.5","0","500","24","true"
"2784.9999999999927","","html-button-response","14","44924","0.0-2.0-0.2","","<p>Scegli il premio:</p>","0","5000","0","10000","60","false"
"4476","","html-button-response","15","49402","0.0-2.0-1.2","","<p>Scegli il premio:</p>","1","7500","0","10000","60","false"
"2118.0000000000073","","html-button-response","16","51521","0.0-2.0-2.2","","<p>Scegli il premio:</p>","1","8750","1","10000","60","false"
"638","","html-button-response","17","52159","0.0-2.0-3.2","","<p>Scegli il premio:</p>","1","8125","1","10000","60","false"
"1735","","html-button-response","18","53895","0.0-2.0-4.2","","<p>Scegli il premio:</p>","0","7813","1","10000","60","false"
"588.9999999999927","","html-button-response","19","54485","0.0-2.0-5.2","","<p>Scegli il premio:</p>","0","7657","1","10000","60","true"
"1518","","html-button-response","20","56004","0.0-2.0-0.3","","<p>Scegli il premio:</p>","1","5000","0","10000","12","false"
"1245.0000000000073","","html-button-response","21","57250","0.0-2.0-1.3","","<p>Scegli il premio:</p>","1","7500","1","10000","12","false"
"1126","","html-button-response","22","58377","0.0-2.0-2.3","","<p>Scegli il premio:</p>","1","6250","1","10000","12","false"
"4939","","html-button-response","23","63317","0.0-2.0-3.3","","<p>Scegli il premio:</p>","1","5625","1","10000","12","false"
"1366.0000000000073","","html-button-response","24","64684","0.0-2.0-4.3","","<p>Scegli il premio:</p>","0","5313","0","10000","12","false"
"1291","","html-button-response","25","65976","0.0-2.0-5.3","","<p>Scegli il premio:</p>","1","5469","1","10000","12","true"
"2422","","html-button-response","26","68398","0.0-2.0-0.4","","<p>Scegli il premio:</p>","1","5000","0","10000","120","false"
"1238","","html-button-response","27","69637","0.0-2.0-1.4","","<p>Scegli il premio:</p>","1","7500","0","10000","120","false"
"4830","","html-button-response","28","74467","0.0-2.0-2.4","","<p>Scegli il premio:</p>","1","8750","1","10000","120","false"
"3958","","html-button-response","29","78426","0.0-2.0-3.4","","<p>Scegli il premio:</p>","0","8125","1","10000","120","false"
"1115","","html-button-response","30","79542","0.0-2.0-4.4","","<p>Scegli il premio:</p>","1","7813","0","10000","120","false"
"4139.000000000015","","html-button-response","31","83682","0.0-2.0-5.4","","<p>Scegli il premio:</p>","0","8047","0","10000","120","true"
"2007","","html-button-response","32","85689","0.0-2.0-0.5","","<p>Scegli il premio:</p>","0","250","0","500","1","false"
"1970.9999999999854","","html-button-response","33","87661","0.0-2.0-1.5","","<p>Scegli il premio:</p>","1","375","0","500","1","false"
"989","","html-button-response","34","88651","0.0-2.0-2.5","","<p>Scegli il premio:</p>","0","438","0","500","1","false"
"1190","","html-button-response","35","89842","0.0-2.0-3.5","","<p>Scegli il premio:</p>","0","469","1","500","1","false"
"840","","html-button-response","36","90683","0.0-2.0-4.5","","<p>Scegli il premio:</p>","0","454","1","500","1","false"
"1101","","html-button-response","37","91785","0.0-2.0-5.5","","<p>Scegli il premio:</p>","1","446","1","500","1","true"
"3217.9999999999854","","html-button-response","38","95004","0.0-2.0-0.6","","<p>Scegli il premio:</p>","1","250","0","500","6","false"
"1056","","html-button-response","39","96061","0.0-2.0-1.6","","<p>Scegli il premio:</p>","1","375","0","500","6","false"
"821","","html-button-response","40","96883","0.0-2.0-2.6","","<p>Scegli il premio:</p>","0","438","1","500","6","false"
"648","","html-button-response","41","97531","0.0-2.0-3.6","","<p>Scegli il premio:</p>","0","407","1","500","6","false"
"1021","","html-button-response","42","98553","0.0-2.0-4.6","","<p>Scegli il premio:</p>","0","391","1","500","6","false"
"719.9999999999854","","html-button-response","43","99273","0.0-2.0-5.6","","<p>Scegli il premio:</p>","0","383","1","500","6","true"
"2435","","html-button-response","44","101709","0.0-2.0-0.7","","<p>Scegli il premio:</p>","1","5000","0","10000","24","false"
"2204.0000000000146","","html-button-response","45","103914","0.0-2.0-1.7","","<p>Scegli il premio:</p>","0","7500","0","10000","24","false"
"1187","","html-button-response","46","105102","0.0-2.0-2.7","","<p>Scegli il premio:</p>","0","8750","1","10000","24","false"
"1131","","html-button-response","47","106233","0.0-2.0-3.7","","<p>Scegli il premio:</p>","1","8125","1","10000","24","false"
"1578","","html-button-response","48","107812","0.0-2.0-4.7","","<p>Scegli il premio:</p>","1","7813","0","10000","24","false"
"1271","","html-button-response","49","109084","0.0-2.0-5.7","","<p>Scegli il premio:</p>","1","8047","0","10000","24","true"
"4753.999999999985","","html-button-response","50","113839","0.0-2.0-0.8","","<p>Scegli il premio:</p>","0","5000","0","10000","1","false"
"1855.0000000000146","","html-button-response","51","115694","0.0-2.0-1.8","","<p>Scegli il premio:</p>","0","7500","0","10000","1","false"
"2021","","html-button-response","52","117716","0.0-2.0-2.8","","<p>Scegli il premio:</p>","0","8750","0","10000","1","false"
"1543","","html-button-response","53","119260","0.0-2.0-3.8","","<p>Scegli il premio:</p>","1","9375","1","10000","1","false"
"1977","","html-button-response","54","121237","0.0-2.0-4.8","","<p>Scegli il premio:</p>","1","9063","0","10000","1","false"
"2853.0000000000146","","html-button-response","55","124091","0.0-2.0-5.8","","<p>Scegli il premio:</p>","1","9219","1","10000","1","true"
"1869","","html-button-response","56","125960","0.0-2.0-0.9","","<p>Scegli il premio:</p>","1","5000","0","10000","6","false"
"1123","","html-button-response","57","127084","0.0-2.0-1.9","","<p>Scegli il premio:</p>","1","7500","0","10000","6","false"
