"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","success","stimulus","button_pressed","adj_rew","choice","del_rew","del_m","last_ask"
"30836","{""Nome"":""Control_TS"",""Cognome"":""25_B_POST""}","survey-text","0","30850","0.0-0.0","","","","","","","",""
"","","fullscreen","1","33748","0.0-1.0","true","","","","","","",""
"1731","","html-button-response","2","35482","0.0-2.0-0.0","","<p>Scegli il premio:</p>","1","250","1","500","1","false"
"1343","","html-button-response","3","36827","0.0-2.0-1.0","","<p>Scegli il premio:</p>","0","125","1","500","1","false"
"970","","html-button-response","4","37798","0.0-2.0-2.0","","<p>Scegli il premio:</p>","1","63","0","500","1","false"
"915","","html-button-response","5","38713","0.0-2.0-3.0","","<p>Scegli il premio:</p>","1","94","0","500","1","false"
"768.0000000000073","","html-button-response","6","39482","0.0-2.0-4.0","","<p>Scegli il premio:</p>","0","110","1","500","1","false"
"596","","html-button-response","7","40079","0.0-2.0-5.0","","<p>Scegli il premio:</p>","0","102","1","500","1","true"
"2017","","html-button-response","8","42098","0.0-2.0-0.1","","<p>Scegli il premio:</p>","0","5000","1","10000","12","false"
"3733","","html-button-response","9","45832","0.0-2.0-1.1","","<p>Scegli il premio:</p>","1","2500","1","10000","12","false"
"645","","html-button-response","10","46479","0.0-2.0-2.1","","<p>Scegli il premio:</p>","0","1250","0","10000","12","false"
"865","","html-button-response","11","47346","0.0-2.0-3.1","","<p>Scegli il premio:</p>","0","1875","0","10000","12","false"
"1731","","html-button-response","12","49079","0.0-2.0-4.1","","<p>Scegli il premio:</p>","0","2188","1","10000","12","false"
"1233.0000000000073","","html-button-response","13","50314","0.0-2.0-5.1","","<p>Scegli il premio:</p>","0","2032","1","10000","12","true"
"3165","","html-button-response","14","53482","0.0-2.0-0.2","","<p>Scegli il premio:</p>","1","5000","1","10000","6","false"
"1349","","html-button-response","15","54833","0.0-2.0-1.2","","<p>Scegli il premio:</p>","1","2500","0","10000","6","false"
"760","","html-button-response","16","55595","0.0-2.0-2.2","","<p>Scegli il premio:</p>","1","3750","0","10000","6","false"
"619","","html-button-response","17","56215","0.0-2.0-3.2","","<p>Scegli il premio:</p>","1","4375","0","10000","6","false"
"612","","html-button-response","18","56828","0.0-2.0-4.2","","<p>Scegli il premio:</p>","1","4688","0","10000","6","false"
"1587","","html-button-response","19","58416","0.0-2.0-5.2","","<p>Scegli il premio:</p>","0","4922","0","10000","6","true"
"2595","","html-button-response","20","61012","0.0-2.0-0.3","","<p>Scegli il premio:</p>","0","5000","1","10000","120","false"
"1619.0000000000073","","html-button-response","21","62633","0.0-2.0-1.3","","<p>Scegli il premio:</p>","1","2500","1","10000","120","false"
"3548","","html-button-response","22","66182","0.0-2.0-2.3","","<p>Scegli il premio:</p>","1","1250","0","10000","120","false"
"1534","","html-button-response","23","67716","0.0-2.0-3.3","","<p>Scegli il premio:</p>","0","1875","0","10000","120","false"
"1116","","html-button-response","24","68833","0.0-2.0-4.3","","<p>Scegli il premio:</p>","0","2188","1","10000","120","false"
"862","","html-button-response","25","69696","0.0-2.0-5.3","","<p>Scegli il premio:</p>","0","2032","1","10000","120","true"
