"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","success","stimulus","button_pressed","adj_rew","choice","del_rew","del_m","last_ask"
"286263","{""Nome"":""CONTROL_TS"",""Cognome"":""11_A_PRE""}","survey-text","0","286276","0.0-0.0","","","","","","","",""
"","","fullscreen","1","289030","0.0-1.0","true","","","","","","",""
"7295","","html-button-response","2","296336","0.0-2.0-0.0","","<p>Scegli il premio:</p>","1","250","1","500","60","false"
"8510","","html-button-response","3","304856","0.0-2.0-1.0","","<p>Scegli il premio:</p>","1","125","0","500","60","false"
"4448","","html-button-response","4","309307","0.0-2.0-2.0","","<p>Scegli il premio:</p>","0","188","0","500","60","false"
"17032","","html-button-response","5","326345","0.0-2.0-3.0","","<p>Scegli il premio:</p>","0","219","0","500","60","false"
"2981","","html-button-response","6","329328","0.0-2.0-4.0","","<p>Scegli il premio:</p>","0","235","0","500","60","false"
"1949","","html-button-response","7","331278","0.0-2.0-5.0","","<p>Scegli il premio:</p>","0","246.5","0","500","60","true"
"4197","","html-button-response","8","335478","0.0-2.0-0.1","","<p>Scegli il premio:</p>","1","5000","0","10000","12","false"
"5398","","html-button-response","9","340878","0.0-2.0-1.1","","<p>Scegli il premio:</p>","1","7500","0","10000","12","false"
"4916","","html-button-response","10","345796","0.0-2.0-2.1","","<p>Scegli il premio:</p>","0","8750","0","10000","12","false"
"13747","","html-button-response","11","359545","0.0-2.0-3.1","","<p>Scegli il premio:</p>","0","9375","0","10000","12","false"
"6253","","html-button-response","12","365800","0.0-2.0-4.1","","<p>Scegli il premio:</p>","0","9688","1","10000","12","false"
"4645","","html-button-response","13","370447","0.0-2.0-5.1","","<p>Scegli il premio:</p>","0","9610","0","10000","12","true"
"3881","","html-button-response","14","374330","0.0-2.0-0.2","","<p>Scegli il premio:</p>","0","250","0","500","12","false"
"3481.000000000058","","html-button-response","15","377813","0.0-2.0-1.2","","<p>Scegli il premio:</p>","0","375","0","500","12","false"
"4569","","html-button-response","16","382384","0.0-2.0-2.2","","<p>Scegli il premio:</p>","1","438","0","500","12","false"
"2861","","html-button-response","17","385246","0.0-2.0-3.2","","<p>Scegli il premio:</p>","0","469","1","500","12","false"
"2014.9999999999418","","html-button-response","18","387263","0.0-2.0-4.2","","<p>Scegli il premio:</p>","1","454","0","500","12","false"
"3632.000000000058","","html-button-response","19","390896","0.0-2.0-5.2","","<p>Scegli il premio:</p>","1","462","1","500","12","true"
"4131","","html-button-response","20","395030","0.0-2.0-0.3","","<p>Scegli il premio:</p>","0","5000","0","10000","120","false"
"1886","","html-button-response","21","396917","0.0-2.0-1.3","","<p>Scegli il premio:</p>","1","7500","1","10000","120","false"
"4465.000000000058","","html-button-response","22","401384","0.0-2.0-2.3","","<p>Scegli il premio:</p>","0","6250","0","10000","120","false"
"3211","","html-button-response","23","404596","0.0-2.0-3.3","","<p>Scegli il premio:</p>","1","6875","0","10000","120","false"
"1451.0000000000582","","html-button-response","24","406050","0.0-2.0-4.3","","<p>Scegli il premio:</p>","1","7188","1","10000","120","false"
"13795","","html-button-response","25","419846","0.0-2.0-5.3","","<p>Scegli il premio:</p>","1","7032","1","10000","120","true"
"4432","","html-button-response","26","424280","0.0-2.0-0.4","","<p>Scegli il premio:</p>","1","5000","0","10000","6","false"
