"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","success","stimulus","button_pressed","adj_rew","choice","del_rew","del_m","last_ask"
"55518","{""Nome"":""CONTROL_TS"",""Cognome"":""22_A""}","survey-text","0","55534","0.0-0.0","","","","","","","",""
"","","fullscreen","1","57736","0.0-1.0","true","","","","","","",""
"6573.999999999993","","html-button-response","2","64313","0.0-2.0-0.0","","<p>Scegli il premio:</p>","0","250","0","500","1","false"
"1302.0000000000146","","html-button-response","3","65616","0.0-2.0-1.0","","<p>Scegli il premio:</p>","0","375","0","500","1","false"
"1572","","html-button-response","4","67189","0.0-2.0-2.0","","<p>Scegli il premio:</p>","0","438","0","500","1","false"
"2453","","html-button-response","5","69642","0.0-2.0-3.0","","<p>Scegli il premio:</p>","1","469","1","500","1","false"
"1902","","html-button-response","6","71546","0.0-2.0-4.0","","<p>Scegli il premio:</p>","1","454","1","500","1","false"
"3122","","html-button-response","7","74668","0.0-2.0-5.0","","<p>Scegli il premio:</p>","1","450","0","500","1","true"
"9793","","html-button-response","8","84462","0.0-2.0-0.1","","<p>Scegli il premio:</p>","0","5000","0","10000","60","false"
"2524.0000000000146","","html-button-response","9","86988","0.0-2.0-1.1","","<p>Scegli il premio:</p>","1","7500","0","10000","60","false"
"1049","","html-button-response","10","88038","0.0-2.0-2.1","","<p>Scegli il premio:</p>","0","8750","1","10000","60","false"
"2153","","html-button-response","11","90191","0.0-2.0-3.1","","<p>Scegli il premio:</p>","1","8125","1","10000","60","false"
"2873","","html-button-response","12","93065","0.0-2.0-4.1","","<p>Scegli il premio:</p>","0","7813","1","10000","60","false"
"1202.0000000000146","","html-button-response","13","94268","0.0-2.0-5.1","","<p>Scegli il premio:</p>","0","7735","0","10000","60","true"
"2052","","html-button-response","14","96321","0.0-2.0-0.2","","<p>Scegli il premio:</p>","1","5000","0","10000","6","false"
"3439","","html-button-response","15","99761","0.0-2.0-1.2","","<p>Scegli il premio:</p>","0","7500","0","10000","6","false"
"2639","","html-button-response","16","102400","0.0-2.0-2.2","","<p>Scegli il premio:</p>","1","8750","0","10000","6","false"
"1957","","html-button-response","17","104358","0.0-2.0-3.2","","<p>Scegli il premio:</p>","1","9375","1","10000","6","false"
"4482","","html-button-response","18","108841","0.0-2.0-4.2","","<p>Scegli il premio:</p>","0","9063","0","10000","6","false"
"3172","","html-button-response","19","112014","0.0-2.0-5.2","","<p>Scegli il premio:</p>","1","9297","0","10000","6","true"
"4054.9999999999854","","html-button-response","20","116070","0.0-2.0-0.3","","<p>Scegli il premio:</p>","1","250","0","500","6","false"
"2072.0000000000146","","html-button-response","21","118144","0.0-2.0-1.3","","<p>Scegli il premio:</p>","1","375","0","500","6","false"
"2839","","html-button-response","22","120984","0.0-2.0-2.3","","<p>Scegli il premio:</p>","0","438","1","500","6","false"
"4027","","html-button-response","23","125012","0.0-2.0-3.3","","<p>Scegli il premio:</p>","1","407","1","500","6","false"
"2868.9999999999854","","html-button-response","24","127882","0.0-2.0-4.3","","<p>Scegli il premio:</p>","1","391","0","500","6","false"
"1505","","html-button-response","25","129388","0.0-2.0-5.3","","<p>Scegli il premio:</p>","0","399","1","500","6","true"
"5337.000000000029","","html-button-response","26","134726","0.0-2.0-0.4","","<p>Scegli il premio:</p>","1","250","1","500","60","false"
"2321","","html-button-response","27","137048","0.0-2.0-1.4","","<p>Scegli il premio:</p>","1","125","0","500","60","false"
"1688","","html-button-response","28","138737","0.0-2.0-2.4","","<p>Scegli il premio:</p>","1","188","0","500","60","false"
"2769.999999999971","","html-button-response","29","141508","0.0-2.0-3.4","","<p>Scegli il premio:</p>","1","219","0","500","60","false"
"1302","","html-button-response","30","142811","0.0-2.0-4.4","","<p>Scegli il premio:</p>","1","235","0","500","60","false"
"3435","","html-button-response","31","146247","0.0-2.0-5.4","","<p>Scegli il premio:</p>","0","246.5","0","500","60","true"
"5305","","html-button-response","32","151552","0.0-2.0-0.5","","<p>Scegli il premio:</p>","1","250","0","500","12","false"
"8991.99999999997","","html-button-response","33","160545","0.0-2.0-1.5","","<p>Scegli il premio:</p>","1","375","0","500","12","false"
"3457","","html-button-response","34","164003","0.0-2.0-2.5","","<p>Scegli il premio:</p>","1","438","1","500","12","false"
"2241","","html-button-response","35","166246","0.0-2.0-3.5","","<p>Scegli il premio:</p>","0","407","0","500","12","false"
"2588","","html-button-response","36","168834","0.0-2.0-4.5","","<p>Scegli il premio:</p>","1","423","0","500","12","false"
"2305","","html-button-response","37","171141","0.0-2.0-5.5","","<p>Scegli il premio:</p>","0","434.5","0","500","12","true"
"11674.00000000003","","html-button-response","38","182816","0.0-2.0-0.6","","<p>Scegli il premio:</p>","0","250","0","500","24","false"
"2474","","html-button-response","39","185291","0.0-2.0-1.6","","<p>Scegli il premio:</p>","1","375","1","500","24","false"
"948","","html-button-response","40","186239","0.0-2.0-2.6","","<p>Scegli il premio:</p>","0","313","0","500","24","false"
"2403","","html-button-response","41","188643","0.0-2.0-3.6","","<p>Scegli il premio:</p>","0","344","1","500","24","false"
"1335","","html-button-response","42","189979","0.0-2.0-4.6","","<p>Scegli il premio:</p>","1","329","0","500","24","false"
"1186","","html-button-response","43","191166","0.0-2.0-5.6","","<p>Scegli il premio:</p>","1","340.5","0","500","24","true"
"2636","","html-button-response","44","193803","0.0-2.0-0.7","","<p>Scegli il premio:</p>","1","5000","0","10000","24","false"
"2634.999999999971","","html-button-response","45","196440","0.0-2.0-1.7","","<p>Scegli il premio:</p>","0","7500","0","10000","24","false"
"1639","","html-button-response","46","198079","0.0-2.0-2.7","","<p>Scegli il premio:</p>","0","8750","0","10000","24","false"
"1269","","html-button-response","47","199349","0.0-2.0-3.7","","<p>Scegli il premio:</p>","1","9375","1","10000","24","false"
"1887","","html-button-response","48","201236","0.0-2.0-4.7","","<p>Scegli il premio:</p>","1","9063","1","10000","24","false"
"2585.000000000029","","html-button-response","49","203822","0.0-2.0-5.7","","<p>Scegli il premio:</p>","1","8985","0","10000","24","true"
"6822","","html-button-response","50","210646","0.0-2.0-0.8","","<p>Scegli il premio:</p>","1","5000","0","10000","120","false"
"3773","","html-button-response","51","214419","0.0-2.0-1.8","","<p>Scegli il premio:</p>","0","7500","1","10000","120","false"
"1924","","html-button-response","52","216344","0.0-2.0-2.8","","<p>Scegli il premio:</p>","0","6250","0","10000","120","false"
"2104","","html-button-response","53","218449","0.0-2.0-3.8","","<p>Scegli il premio:</p>","1","6875","0","10000","120","false"
"1970","","html-button-response","54","220420","0.0-2.0-4.8","","<p>Scegli il premio:</p>","0","7188","0","10000","120","false"
"1653","","html-button-response","55","222074","0.0-2.0-5.8","","<p>Scegli il premio:</p>","0","7422","0","10000","120","true"
"3072","","html-button-response","56","225146","0.0-2.0-0.9","","<p>Scegli il premio:</p>","1","5000","0","10000","12","false"
"1886","","html-button-response","57","227033","0.0-2.0-1.9","","<p>Scegli il premio:</p>","1","7500","0","10000","12","false"
"2035","","html-button-response","58","229069","0.0-2.0-2.9","","<p>Scegli il premio:</p>","0","8750","0","10000","12","false"
"1835","","html-button-response","59","230905","0.0-2.0-3.9","","<p>Scegli il premio:</p>","1","9375","0","10000","12","false"
"1955","","html-button-response","60","232860","0.0-2.0-4.9","","<p>Scegli il premio:</p>","1","9688","1","10000","12","false"
"2118","","html-button-response","61","234979","0.0-2.0-5.9","","<p>Scegli il premio:</p>","1","9532","1","10000","12","true"
"8603","","html-button-response","62","243583","0.0-2.0-0.10","","<p>Scegli il premio:</p>","0","250","1","500","120","false"
"2125","","html-button-response","63","245709","0.0-2.0-1.10","","<p>Scegli il premio:</p>","0","125","0","500","120","false"
"1078","","html-button-response","64","246788","0.0-2.0-2.10","","<p>Scegli il premio:</p>","0","188","0","500","120","false"
