subnum,block,type,correctresponse,trial,choice,x,y,stim,present,response,responded,corr,starttime,rt
CONTROL_TS_9B,0,practice,P,1,1,656,391,P,1,NONE,0,0,44992,1450
CONTROL_TS_9B,0,practice,P,2,3,656,591,P,1,NONE,0,0,47505,1450
CONTROL_TS_9B,0,practice,P,3,2,856,391,P,1,NONE,0,0,50020,1450
CONTROL_TS_9B,0,practice,P,4,4,856,591,P,1,NONE,0,0,52539,1450
CONTROL_TS_9B,0,practice,P,5,1,656,391,P,1,NONE,0,0,55053,1450
CONTROL_TS_9B,0,practice,P,6,3,656,591,R,0,NONE,0,1,57569,1450
CONTROL_TS_9B,0,practice,P,7,1,656,391,P,1,NONE,0,0,59040,1450
CONTROL_TS_9B,0,practice,P,8,3,656,591,P,1,NONE,0,0,61553,1450
CONTROL_TS_9B,0,practice,P,9,2,856,391,P,1,NONE,0,0,64068,1450
CONTROL_TS_9B,0,practice,P,1,4,856,591,P,1,NONE,0,0,24434,1451
CONTROL_TS_9B,0,practice,P,2,1,656,391,P,1,694|408|1|<pressed>,1,1,26951,421
CONTROL_TS_9B,0,practice,P,3,1,656,391,P,1,693|408|1|<released>,1,1,27432,144
CONTROL_TS_9B,0,practice,P,4,4,856,591,P,1,804|519|1|<pressed>,1,1,28933,676
CONTROL_TS_9B,0,practice,P,5,1,656,391,P,1,653|398|1|<pressed>,1,1,30433,455
CONTROL_TS_9B,0,practice,P,6,4,856,591,P,1,836|570|1|<pressed>,1,1,31933,405
CONTROL_TS_9B,0,practice,P,7,4,856,591,R,0,851|586|1|<pressed>,1,0,33434,492
CONTROL_TS_9B,0,practice,P,8,1,656,391,P,1,668|447|1|<pressed>,1,1,35014,628
CONTROL_TS_9B,0,practice,P,9,4,856,591,P,1,839|576|1|<pressed>,1,1,36433,522
CONTROL_TS_9B,0,practice,P,10,4,856,591,R,0,NONE,0,1,37934,1450
CONTROL_TS_9B,1,test,P,1,3,656,591,P,1,674|545|1|<pressed>,1,1,46477,594
CONTROL_TS_9B,1,test,P,2,1,656,391,R,0,NONE,0,1,47978,1450
CONTROL_TS_9B,1,test,P,3,3,656,591,P,1,709|563|1|<pressed>,1,1,49477,499
CONTROL_TS_9B,1,test,P,4,3,656,591,R,0,NONE,0,1,50977,1450
CONTROL_TS_9B,1,test,P,5,1,656,391,R,0,NONE,0,1,52476,1450
CONTROL_TS_9B,1,test,P,6,3,656,591,P,1,676|544|1|<pressed>,1,1,53977,461
CONTROL_TS_9B,1,test,P,7,1,656,391,P,1,675|429|1|<pressed>,1,1,55477,461
CONTROL_TS_9B,1,test,P,8,3,656,591,R,0,NONE,0,1,56977,1450
CONTROL_TS_9B,1,test,P,9,1,656,391,P,1,656|437|1|<pressed>,1,1,58476,450
CONTROL_TS_9B,1,test,P,10,3,656,591,P,1,641|578|1|<pressed>,1,1,59977,561
CONTROL_TS_9B,1,test,P,11,4,856,591,P,1,858|636|1|<pressed>,1,1,61477,478
CONTROL_TS_9B,1,test,P,12,3,656,591,P,1,574|583|1|<pressed>,1,1,62977,544
CONTROL_TS_9B,1,test,P,13,4,856,591,P,1,790|591|1|<pressed>,1,1,64477,534
CONTROL_TS_9B,1,test,P,14,1,656,391,P,1,690|438|1|<pressed>,1,1,65977,561
CONTROL_TS_9B,1,test,P,15,3,656,591,P,1,663|568|1|<pressed>,1,1,67477,432
CONTROL_TS_9B,1,test,P,16,4,856,591,P,1,856|598|1|<pressed>,1,1,68977,522
CONTROL_TS_9B,1,test,P,17,1,656,391,P,1,701|409|1|<pressed>,1,1,70477,461
CONTROL_TS_9B,1,test,P,18,1,656,391,R,0,NONE,0,1,71977,1450
CONTROL_TS_9B,1,test,P,19,4,856,591,R,0,NONE,0,1,73477,1450
