subnum,block,type,correctresponse,trial,choice,x,y,stim,present,response,responded,corr,starttime,rt
CONTROL_TS_9B,1,test,P,20,4,856,591,P,1,834|585|1|<pressed>,1,1,74976,449
CONTROL_TS_9B,1,test,P,21,4,856,591,P,1,836|585|1|<pressed>,1,1,76477,345
CONTROL_TS_9B,1,test,P,22,1,656,391,P,1,611|376|1|<pressed>,1,1,77977,561
CONTROL_TS_9B,1,test,P,23,1,656,391,P,1,617|376|1|<pressed>,1,1,79477,478
CONTROL_TS_9B,1,test,P,24,1,656,391,P,1,617|376|1|<pressed>,1,1,80977,361
CONTROL_TS_9B,1,test,P,25,4,856,591,P,1,871|556|1|<pressed>,1,1,82477,728
CONTROL_TS_9B,1,test,P,26,3,656,591,R,0,NONE,0,1,83978,1450
CONTROL_TS_9B,1,test,P,27,2,856,391,P,1,892|425|1|<pressed>,1,1,85477,478
CONTROL_TS_9B,1,test,P,28,2,856,391,P,1,883|424|1|<pressed>,1,1,86977,361
CONTROL_TS_9B,1,test,P,29,4,856,591,P,1,866|569|1|<pressed>,1,1,88477,544
CONTROL_TS_9B,1,test,P,30,4,856,591,R,0,866|569|1|<pressed>,1,0,89977,382
CONTROL_TS_9B,1,test,P,31,2,856,391,P,1,865|457|1|<pressed>,1,1,91478,522
CONTROL_TS_9B,1,test,P,32,4,856,591,P,1,869|589|1|<pressed>,1,1,92977,565
CONTROL_TS_9B,1,test,P,33,1,656,391,R,0,NONE,0,1,94477,1450
CONTROL_TS_9B,1,test,P,34,2,856,391,P,1,841|440|1|<pressed>,1,1,95976,462
CONTROL_TS_9B,1,test,P,35,3,656,591,P,1,681|550|1|<pressed>,1,1,97476,466
CONTROL_TS_9B,1,test,P,36,2,856,391,R,0,NONE,0,1,98976,1450
CONTROL_TS_9B,1,test,P,37,4,856,591,P,1,851|569|1|<pressed>,1,1,100476,522
CONTROL_TS_9B,1,test,P,38,3,656,591,P,1,632|632|1|<pressed>,1,1,101976,549
CONTROL_TS_9B,1,test,P,39,2,856,391,P,1,878|465|1|<pressed>,1,1,103477,527
CONTROL_TS_9B,1,test,P,40,1,656,391,P,1,689|420|1|<pressed>,1,1,104976,495
CONTROL_TS_9B,1,test,P,41,2,856,391,R,0,NONE,0,1,106476,1450
CONTROL_TS_9B,1,test,P,42,2,856,391,P,1,837|417|1|<pressed>,1,1,107976,528
CONTROL_TS_9B,1,test,P,43,2,856,391,P,1,837|416|1|<pressed>,1,1,109476,362
CONTROL_TS_9B,1,test,P,44,3,656,591,R,0,NONE,0,1,110976,1450
CONTROL_TS_9B,1,test,P,45,1,656,391,P,1,629|321|1|<pressed>,1,1,112476,578
CONTROL_TS_9B,1,test,P,46,2,856,391,R,0,NONE,0,1,113976,1450
CONTROL_TS_9B,1,test,P,47,3,656,591,P,1,666|545|1|<pressed>,1,1,115476,478
CONTROL_TS_9B,1,test,P,48,1,656,391,P,1,666|443|1|<pressed>,1,1,116977,427
CONTROL_TS_9B,1,test,P,49,2,856,391,R,0,NONE,0,1,118476,1450
CONTROL_TS_9B,1,test,P,50,3,656,591,R,0,NONE,0,1,119977,1450
CONTROL_TS_9B,1,test,P,51,4,856,591,P,1,840|574|1|<pressed>,1,1,121476,445
CONTROL_TS_9B,1,test,P,52,2,856,391,R,0,NONE,0,1,122977,1450
CONTROL_TS_9B,1,test,P,53,3,656,591,P,1,673|589|1|<pressed>,1,1,124477,482
CONTROL_TS_9B,1,test,P,54,2,856,391,P,1,929|392|1|<pressed>,1,1,125976,483
CONTROL_TS_9B,1,test,P,55,1,656,391,R,0,NONE,0,1,127478,1450
CONTROL_TS_9B,1,test,P,56,1,656,391,P,1,681|399|1|<pressed>,1,1,128976,462
CONTROL_TS_9B,1,test,P,57,4,856,591,P,1,969|630|1|<pressed>,1,1,130476,566
CONTROL_TS_9B,1,test,P,58,2,856,391,P,1,881|458|1|<pressed>,1,1,131977,665
CONTROL_TS_9B,1,test,P,59,2,856,391,P,1,860|450|1|<pressed>,1,1,133477,377
CONTROL_TS_9B,1,test,P,60,2,856,391,P,1,858|445|1|<pressed>,1,1,134976,362
CONTROL_TS_9B,1,test,P,61,1,656,391,P,1,660|436|1|<pressed>,1,1,136477,544
CONTROL_TS_9B,1,test,P,62,4,856,591,P,1,810|574|1|<pressed>,1,1,137977,544
CONTROL_TS_9B,1,test,P,63,1,656,391,P,1,705|430|1|<pressed>,1,1,139477,611
CONTROL_TS_9B,1,test,P,64,1,656,391,P,1,705|430|1|<pressed>,1,1,140977,394
CONTROL_TS_9B,1,test,P,65,2,856,391,R,0,NONE,0,1,142476,1450
CONTROL_TS_9B,1,test,P,66,3,656,591,R,0,NONE,0,1,143977,1450
CONTROL_TS_9B,1,test,P,67,3,656,591,R,0,NONE,0,1,145477,1450
CONTROL_TS_9B,1,test,P,68,3,656,591,P,1,674|553|1|<pressed>,1,1,146976,379
CONTROL_TS_9B,1,test,P,69,4,856,591,P,1,848|570|1|<pressed>,1,1,148476,528
CONTROL_TS_9B,1,test,P,70,3,656,591,P,1,667|628|1|<pressed>,1,1,149977,615
CONTROL_TS_9B,1,test,P,71,2,856,391,P,1,805|471|1|<pressed>,1,1,151476,499
CONTROL_TS_9B,1,test,P,72,4,856,591,P,1,827|533|1|<pressed>,1,1,152976,545
CONTROL_TS_9B,1,test,P,73,4,856,591,P,1,836|545|1|<pressed>,1,1,154477,560
CONTROL_TS_9B,1,test,P,74,4,856,591,P,1,836|545|1|<pressed>,1,1,155977,444
CONTROL_TS_9B,1,test,P,75,1,656,391,P,1,679|371|1|<pressed>,1,1,157476,528
CONTROL_TS_9B,1,test,P,76,4,856,591,R,0,NONE,0,1,158977,1450
CONTROL_TS_9B,1,test,P,77,1,656,391,P,1,702|330|1|<pressed>,1,1,160477,561
CONTROL_TS_9B,1,test,P,78,3,656,591,R,0,NONE,0,1,161976,1450
CONTROL_TS_9B,1,test,P,79,3,656,591,P,1,662|556|1|<pressed>,1,1,163476,628
CONTROL_TS_9B,1,test,P,80,2,856,391,P,1,787|459|1|<pressed>,1,1,164977,460
CONTROL_TS_9B,1,test,P,81,4,856,591,R,0,NONE,0,1,166476,1450
CONTROL_TS_9B,1,test,P,82,1,656,391,P,1,648|403|1|<pressed>,1,1,167977,428
CONTROL_TS_9B,1,test,P,83,3,656,591,P,1,659|541|1|<pressed>,1,1,169476,561
CONTROL_TS_9B,1,test,P,84,1,656,391,P,1,674|426|1|<pressed>,1,1,170976,478
CONTROL_TS_9B,1,test,P,85,3,656,591,P,1,682|560|1|<pressed>,1,1,172476,528
CONTROL_TS_9B,1,test,P,86,1,656,391,P,1,675|455|1|<pressed>,1,1,173976,328
CONTROL_TS_9B,1,test,P,87,2,856,391,P,1,825|394|1|<pressed>,1,1,175478,559
CONTROL_TS_9B,1,test,P,88,4,856,591,P,1,838|600|1|<pressed>,1,1,176976,611
CONTROL_TS_9B,1,test,P,89,1,656,391,R,0,NONE,0,1,178476,1451
CONTROL_TS_9B,1,test,P,90,3,656,591,P,1,654|567|1|<pressed>,1,1,179978,393
CONTROL_TS_9B,1,test,P,91,1,656,391,P,1,669|433|1|<pressed>,1,1,181476,695
CONTROL_TS_9B,1,test,P,92,4,856,591,P,1,868|573|1|<pressed>,1,1,182977,560
CONTROL_TS_9B,1,test,P,93,3,656,591,R,0,NONE,0,1,184477,1450
CONTROL_TS_9B,1,test,P,94,2,856,391,P,1,869|360|1|<pressed>,1,1,185977,444
CONTROL_TS_9B,1,test,P,95,1,656,391,P,1,683|373|1|<pressed>,1,1,187476,412
CONTROL_TS_9B,1,test,P,96,3,656,591,P,1,678|522|1|<pressed>,1,1,188977,431
CONTROL_TS_9B,1,test,P,97,2,856,391,P,1,842|423|1|<pressed>,1,1,190477,415
CONTROL_TS_9B,1,test,P,98,2,856,391,R,0,NONE,0,1,191978,1450
CONTROL_TS_9B,1,test,P,99,2,856,391,P,1,855|395|1|<pressed>,1,1,193477,427
CONTROL_TS_9B,1,test,P,100,3,656,591,P,1,683|568|1|<pressed>,1,1,194976,483
CONTROL_TS_9B,1,test,P,101,2,856,391,P,1,880|413|1|<pressed>,1,1,196477,427
CONTROL_TS_9B,1,test,P,102,2,856,391,P,1,866|395|1|<pressed>,1,1,197978,393
CONTROL_TS_9B,1,test,P,103,4,856,591,P,1,846|525|1|<pressed>,1,1,199477,527
CONTROL_TS_9B,1,test,P,104,3,656,591,P,1,666|577|1|<pressed>,1,1,200977,581
CONTROL_TS_9B,1,test,P,105,1,656,391,P,1,664|426|1|<pressed>,1,1,202477,361
CONTROL_TS_9B,1,test,P,106,1,656,391,P,1,658|355|1|<pressed>,1,1,203977,448
CONTROL_TS_9B,1,test,P,107,1,656,391,P,1,660|393|1|<pressed>,1,1,205477,411
CONTROL_TS_9B,1,test,P,108,2,856,391,P,1,872|405|1|<pressed>,1,1,206977,477
CONTROL_TS_9B,1,test,P,109,3,656,591,P,1,668|564|1|<pressed>,1,1,208477,594
CONTROL_TS_9B,1,test,P,110,2,856,391,P,1,812|440|1|<pressed>,1,1,209978,460
CONTROL_TS_9B,1,test,P,111,2,856,391,P,1,859|396|1|<pressed>,1,1,211477,560
CONTROL_TS_9B,1,test,P,112,1,656,391,P,1,625|402|1|<pressed>,1,1,212977,465
CONTROL_TS_9B,1,test,P,113,3,656,591,R,0,NONE,0,1,214476,1450
CONTROL_TS_9B,1,test,P,114,1,656,391,P,1,677|443|1|<pressed>,1,1,215976,478
CONTROL_TS_9B,1,test,P,115,3,656,591,P,1,670|410|1|<released>,1,1,217477,26
CONTROL_TS_9B,1,test,P,116,1,656,391,P,1,652|446|1|<pressed>,1,1,218977,523
CONTROL_TS_9B,1,test,P,117,1,656,391,R,0,NONE,0,1,220477,1450
CONTROL_TS_9B,1,test,P,118,1,656,391,R,0,NONE,0,1,221976,1450
CONTROL_TS_9B,1,test,P,119,3,656,591,P,1,657|587|1|<pressed>,1,1,223477,477
CONTROL_TS_9B,1,test,P,120,2,856,391,P,1,852|393|1|<pressed>,1,1,224976,495
CONTROL_TS_9B,1,test,P,121,1,656,391,P,1,654|417|1|<pressed>,1,1,226477,398
CONTROL_TS_9B,1,test,P,122,2,856,391,P,1,851|411|1|<pressed>,1,1,227976,545
CONTROL_TS_9B,1,test,P,123,1,656,391,P,1,671|412|1|<pressed>,1,1,229477,394
CONTROL_TS_9B,1,test,P,124,4,856,591,P,1,865|591|1|<pressed>,1,1,230976,495
CONTROL_TS_9B,1,test,P,125,4,856,591,P,1,837|585|1|<pressed>,1,1,232476,645
CONTROL_TS_9B,1,test,P,126,3,656,591,P,1,598|619|1|<pressed>,1,1,233976,544
CONTROL_TS_9B,1,test,P,127,1,656,391,P,1,667|477|1|<pressed>,1,1,235476,445
CONTROL_TS_9B,1,test,P,128,1,656,391,P,1,666|471|1|<pressed>,1,1,236976,348
CONTROL_TS_9B,1,test,P,129,3,656,591,P,1,670|632|1|<pressed>,1,1,238476,522
CONTROL_TS_9B,1,test,P,130,3,656,591,P,1,669|623|1|<pressed>,1,1,239977,415
CONTROL_TS_9B,1,test,P,131,1,656,391,P,1,662|458|1|<pressed>,1,1,241478,543
CONTROL_TS_9B,1,test,P,132,3,656,591,P,1,660|602|1|<pressed>,1,1,242976,495
CONTROL_TS_9B,1,test,P,133,1,656,391,P,1,660|451|1|<pressed>,1,1,244477,410
CONTROL_TS_9B,1,test,P,134,3,656,591,P,1,660|584|1|<pressed>,1,1,245976,428
CONTROL_TS_9B,1,test,P,135,1,656,391,P,1,665|462|1|<pressed>,1,1,247476,345
CONTROL_TS_9B,1,test,P,136,2,856,391,P,1,851|390|1|<pressed>,1,1,248978,592
CONTROL_TS_9B,1,test,P,137,4,856,591,P,1,826|493|1|<pressed>,1,1,250477,494
CONTROL_TS_9B,1,test,P,138,3,656,591,P,1,699|524|1|<pressed>,1,1,251977,477
CONTROL_TS_9B,1,test,P,139,1,656,391,P,1,696|390|1|<pressed>,1,1,253476,411
CONTROL_TS_9B,1,test,P,140,4,856,591,P,1,853|554|1|<pressed>,1,1,254976,495
CONTROL_TS_9B,1,test,P,141,3,656,591,P,1,731|579|1|<pressed>,1,1,256477,594
CONTROL_TS_9B,1,test,P,142,4,856,591,P,1,922|578|1|<pressed>,1,1,257977,631
CONTROL_TS_9B,1,test,P,143,4,856,591,P,1,900|577|1|<pressed>,1,1,259477,344
CONTROL_TS_9B,1,test,P,144,1,656,391,R,0,NONE,0,1,260976,1450
CONTROL_TS_9B,1,test,P,145,2,856,391,P,1,859|427|1|<pressed>,1,1,262476,528
CONTROL_TS_9B,1,test,P,146,4,856,591,R,0,NONE,0,1,263976,1450
CONTROL_TS_9B,1,test,P,147,2,856,391,P,1,844|448|1|<pressed>,1,1,265476,462
CONTROL_TS_9B,1,test,P,148,3,656,591,P,1,623|565|1|<pressed>,1,1,266977,481
CONTROL_TS_9B,1,test,P,149,2,856,391,P,1,870|449|1|<pressed>,1,1,268477,411
CONTROL_TS_9B,1,test,P,150,2,856,391,P,1,868|422|1|<pressed>,1,1,269977,415
CONTROL_TS_9B,1,test,P,151,3,656,591,P,1,627|629|1|<pressed>,1,1,271477,522
CONTROL_TS_9B,1,test,P,152,4,856,591,P,1,830|590|1|<pressed>,1,1,272977,377
CONTROL_TS_9B,1,test,P,153,2,856,391,P,1,852|445|1|<pressed>,1,1,274477,461
CONTROL_TS_9B,1,test,P,154,2,856,391,P,1,842|440|1|<pressed>,1,1,275977,360
CONTROL_TS_9B,1,test,P,155,4,856,591,P,1,855|609|1|<pressed>,1,1,277476,522
CONTROL_TS_9B,1,test,P,156,2,856,391,R,0,NONE,0,1,278977,1450
CONTROL_TS_9B,1,test,P,157,1,656,391,P,1,693|415|1|<pressed>,1,1,280477,477
CONTROL_TS_9B,1,test,P,158,4,856,591,P,1,812|578|1|<pressed>,1,1,281976,445
CONTROL_TS_9B,1,test,P,159,1,656,391,P,1,686|438|1|<pressed>,1,1,283478,443
CONTROL_TS_9B,1,test,P,160,3,656,591,P,1,672|594|1|<pressed>,1,1,284977,443
CONTROL_TS_9B,2,practice,R,1,2,856,391,R,1,794|430|1|<pressed>,1,1,299774,680
CONTROL_TS_9B,2,practice,R,2,4,856,591,R,1,823|580|1|<pressed>,1,1,301275,429
CONTROL_TS_9B,2,practice,R,3,1,656,391,R,1,650|383|1|<pressed>,1,1,302774,447
CONTROL_TS_9B,2,practice,R,4,1,656,391,P,0,661|387|1|<pressed>,1,0,304274,351
CONTROL_TS_9B,2,practice,R,5,3,656,591,R,1,NONE,0,0,305772,1450
CONTROL_TS_9B,2,practice,R,6,1,656,391,P,0,NONE,0,1,308284,1450
CONTROL_TS_9B,2,practice,R,7,2,856,391,R,1,814|478|1|<pressed>,1,1,309755,466
CONTROL_TS_9B,2,practice,R,8,2,856,391,R,1,815|477|1|<released>,1,1,310273,135
CONTROL_TS_9B,2,practice,R,9,4,856,591,R,1,819|546|1|<pressed>,1,1,311774,480
CONTROL_TS_9B,2,practice,R,10,3,656,591,R,1,820|547|1|<pressed>,1,1,313274,380
CONTROL_TS_9B,3,test,R,1,4,856,591,R,1,821|550|1|<pressed>,1,1,317775,583
CONTROL_TS_9B,3,test,R,2,1,656,391,R,1,821|551|1|<pressed>,1,1,319275,378
CONTROL_TS_9B,3,test,R,3,4,856,591,R,1,821|551|1|<pressed>,1,1,320775,346
CONTROL_TS_9B,3,test,R,4,1,656,391,R,1,821|551|1|<pressed>,1,1,322275,450
CONTROL_TS_9B,3,test,R,5,2,856,391,R,1,821|551|1|<pressed>,1,1,323776,395
CONTROL_TS_9B,3,test,R,6,4,856,591,R,1,821|551|1|<pressed>,1,1,325275,396
CONTROL_TS_9B,3,test,R,7,1,656,391,R,1,821|551|1|<pressed>,1,1,326775,445
CONTROL_TS_9B,3,test,R,8,1,656,391,R,1,821|551|1|<pressed>,1,1,328275,429
CONTROL_TS_9B,3,test,R,9,2,856,391,R,1,821|551|1|<pressed>,1,1,329775,433
CONTROL_TS_9B,3,test,R,10,2,856,391,R,1,821|551|1|<pressed>,1,1,331275,445
CONTROL_TS_9B,3,test,R,11,2,856,391,R,1,821|551|1|<pressed>,1,1,332775,462
CONTROL_TS_9B,3,test,R,12,1,656,391,R,1,821|551|1|<pressed>,1,1,334275,412
CONTROL_TS_9B,3,test,R,13,3,656,591,R,1,821|551|1|<pressed>,1,1,335775,483
CONTROL_TS_9B,3,test,R,14,1,656,391,R,1,821|551|1|<pressed>,1,1,337275,412
CONTROL_TS_9B,3,test,R,15,4,856,591,R,1,821|551|1|<pressed>,1,1,338775,462
CONTROL_TS_9B,3,test,R,16,2,856,391,P,0,NONE,0,1,340274,1450
CONTROL_TS_9B,3,test,R,17,3,656,591,P,0,NONE,0,1,341775,1450
CONTROL_TS_9B,3,test,R,18,3,656,591,R,1,821|551|1|<pressed>,1,1,343274,530
CONTROL_TS_9B,3,test,R,19,2,856,391,R,1,821|551|1|<pressed>,1,1,344774,496
CONTROL_TS_9B,3,test,R,20,1,656,391,R,1,821|551|1|<pressed>,1,1,346274,397
CONTROL_TS_9B,3,test,R,21,2,856,391,R,1,821|551|1|<pressed>,1,1,347774,451
CONTROL_TS_9B,3,test,R,22,1,656,391,R,1,821|551|1|<pressed>,1,1,349275,429
CONTROL_TS_9B,3,test,R,23,1,656,391,R,1,821|551|1|<pressed>,1,1,350774,384
CONTROL_TS_9B,3,test,R,24,4,856,591,R,1,821|551|1|<pressed>,1,1,352275,462
CONTROL_TS_9B,3,test,R,25,3,656,591,R,1,821|551|1|<pressed>,1,1,353774,380
CONTROL_TS_9B,3,test,R,26,1,656,391,R,1,821|551|1|<pressed>,1,1,355274,330
CONTROL_TS_9B,3,test,R,27,3,656,591,R,1,821|551|1|<pressed>,1,1,356776,311
CONTROL_TS_9B,3,test,R,28,1,656,391,P,0,NONE,0,1,358276,1450
CONTROL_TS_9B,3,test,R,29,4,856,591,R,1,821|551|1|<pressed>,1,1,359775,395
CONTROL_TS_9B,3,test,R,30,4,856,591,R,1,821|551|1|<pressed>,1,1,361275,429
CONTROL_TS_9B,3,test,R,31,3,656,591,R,1,821|551|1|<pressed>,1,1,362775,545
CONTROL_TS_9B,3,test,R,32,2,856,391,R,1,821|551|1|<pressed>,1,1,364276,312
CONTROL_TS_9B,3,test,R,33,4,856,591,R,1,821|551|1|<pressed>,1,1,365775,312
CONTROL_TS_9B,3,test,R,34,2,856,391,R,1,821|550|1|<pressed>,1,1,367274,318
CONTROL_TS_9B,3,test,R,35,1,656,391,R,1,821|550|1|<pressed>,1,1,368776,328
CONTROL_TS_9B,3,test,R,36,2,856,391,R,1,821|550|1|<pressed>,1,1,370274,363
CONTROL_TS_9B,3,test,R,37,3,656,591,R,1,821|550|1|<pressed>,1,1,371775,350
CONTROL_TS_9B,3,test,R,38,1,656,391,R,1,821|550|1|<pressed>,1,1,373275,362
CONTROL_TS_9B,3,test,R,39,4,856,591,R,1,821|550|1|<pressed>,1,1,374775,312
CONTROL_TS_9B,3,test,R,40,2,856,391,R,1,821|550|1|<pressed>,1,1,376275,396
CONTROL_TS_9B,3,test,R,41,4,856,591,P,0,NONE,0,1,377775,1450
CONTROL_TS_9B,3,test,R,42,1,656,391,P,0,NONE,0,1,379274,1451
CONTROL_TS_9B,3,test,R,43,2,856,391,R,1,821|550|1|<pressed>,1,1,380775,446
CONTROL_TS_9B,3,test,R,44,2,856,391,R,1,821|550|1|<pressed>,1,1,382275,396
CONTROL_TS_9B,3,test,R,45,3,656,591,R,1,821|550|1|<pressed>,1,1,383775,379
CONTROL_TS_9B,3,test,R,46,3,656,591,P,0,NONE,0,1,385275,1450
CONTROL_TS_9B,3,test,R,47,1,656,391,P,0,NONE,0,1,386775,1450
CONTROL_TS_9B,3,test,R,48,2,856,391,R,1,821|550|1|<pressed>,1,1,388274,380
CONTROL_TS_9B,3,test,R,49,3,656,591,R,1,821|550|1|<pressed>,1,1,389775,379
CONTROL_TS_9B,3,test,R,50,2,856,391,R,1,821|550|1|<pressed>,1,1,391275,379
CONTROL_TS_9B,3,test,R,51,1,656,391,R,1,821|550|1|<pressed>,1,1,392775,362
CONTROL_TS_9B,3,test,R,52,4,856,591,R,1,821|550|1|<pressed>,1,1,394276,316
CONTROL_TS_9B,3,test,R,53,4,856,591,R,1,821|550|1|<pressed>,1,1,395776,361
CONTROL_TS_9B,3,test,R,54,1,656,391,R,1,821|550|1|<pressed>,1,1,397275,346
CONTROL_TS_9B,3,test,R,55,2,856,391,R,1,821|549|1|<pressed>,1,1,398776,398
CONTROL_TS_9B,3,test,R,56,2,856,391,R,1,821|549|1|<pressed>,1,1,400275,412
CONTROL_TS_9B,3,test,R,57,2,856,391,R,1,821|549|1|<pressed>,1,1,401775,412
CONTROL_TS_9B,3,test,R,58,4,856,591,R,1,821|549|1|<pressed>,1,1,403275,429
CONTROL_TS_9B,3,test,R,59,1,656,391,R,1,821|549|1|<pressed>,1,1,404775,295
CONTROL_TS_9B,3,test,R,60,1,656,391,R,1,821|549|1|<pressed>,1,1,406276,361
CONTROL_TS_9B,3,test,R,61,3,656,591,R,1,821|549|1|<pressed>,1,1,407775,445
CONTROL_TS_9B,3,test,R,62,4,856,591,R,1,821|549|1|<pressed>,1,1,409275,379
CONTROL_TS_9B,3,test,R,63,3,656,591,P,0,821|549|1|<pressed>,1,0,410776,378
CONTROL_TS_9B,3,test,R,64,1,656,391,P,0,NONE,0,1,412275,1450
CONTROL_TS_9B,3,test,R,65,4,856,591,R,1,821|549|1|<pressed>,1,1,413774,525
CONTROL_TS_9B,3,test,R,66,1,656,391,R,1,821|549|1|<pressed>,1,1,415274,350
CONTROL_TS_9B,3,test,R,67,4,856,591,R,1,821|549|1|<pressed>,1,1,416775,595
CONTROL_TS_9B,3,test,R,68,4,856,591,R,1,821|549|1|<pressed>,1,1,418275,295
CONTROL_TS_9B,3,test,R,69,3,656,591,R,1,821|549|1|<pressed>,1,1,419776,328
CONTROL_TS_9B,3,test,R,70,1,656,391,R,1,820|549|1|<pressed>,1,1,421275,495
CONTROL_TS_9B,3,test,R,71,4,856,591,P,0,NONE,0,1,422775,1450
CONTROL_TS_9B,3,test,R,72,4,856,591,P,0,NONE,0,1,424275,1450
CONTROL_TS_9B,3,test,R,73,1,656,391,P,0,NONE,0,1,425774,1450
CONTROL_TS_9B,3,test,R,74,1,656,391,R,1,820|549|1|<pressed>,1,1,427274,380
CONTROL_TS_9B,3,test,R,75,3,656,591,P,0,NONE,0,1,428775,1450
CONTROL_TS_9B,3,test,R,76,4,856,591,R,1,820|549|1|<pressed>,1,1,430275,379
CONTROL_TS_9B,3,test,R,77,3,656,591,R,1,820|549|1|<pressed>,1,1,431775,523
CONTROL_TS_9B,3,test,R,78,1,656,391,R,1,820|549|1|<pressed>,1,1,433276,461
CONTROL_TS_9B,3,test,R,79,2,856,391,R,1,820|549|1|<pressed>,1,1,434774,496
CONTROL_TS_9B,3,test,R,80,1,656,391,R,1,820|549|1|<pressed>,1,1,436274,536
CONTROL_TS_9B,3,test,R,81,2,856,391,R,1,820|549|1|<pressed>,1,1,437774,522
CONTROL_TS_9B,3,test,R,82,1,656,391,R,1,820|549|1|<pressed>,1,1,439274,346
CONTROL_TS_9B,3,test,R,83,4,856,591,R,1,820|549|1|<pressed>,1,1,440775,483
CONTROL_TS_9B,3,test,R,84,1,656,391,R,1,820|549|1|<pressed>,1,1,442275,362
CONTROL_TS_9B,3,test,R,85,1,656,391,P,0,820|549|1|<pressed>,1,0,443775,395
CONTROL_TS_9B,3,test,R,86,3,656,591,R,1,820|549|1|<pressed>,1,1,445275,428
CONTROL_TS_9B,3,test,R,87,4,856,591,R,1,820|549|1|<pressed>,1,1,446775,521
CONTROL_TS_9B,3,test,R,88,4,856,591,R,1,820|549|1|<pressed>,1,1,448275,399
CONTROL_TS_9B,3,test,R,89,3,656,591,R,1,820|549|1|<pressed>,1,1,449775,366
CONTROL_TS_9B,3,test,R,90,3,656,591,R,1,820|549|1|<pressed>,1,1,451274,363
CONTROL_TS_9B,3,test,R,91,1,656,391,R,1,820|549|1|<pressed>,1,1,452775,433
